"Client","CHAT","Whiteboard","SEND","GET","RESUME","TSEND","SENDT","XMIT","PassiveDCC","Server","RDCC","REVERSE","RSEND","Reverse/FirewallDCC","Fileservers(FSERVs)","XDCC"
"AndroidChat","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"MobileColloquy","Yes","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"fIRC","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"jmIrc","No","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"k-IRC","No","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"RevolutionIRC","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Virca","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"wIRC","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"WLIrc","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Yaaic","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SimpleIRC","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"zsIRC","No","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"Client","CHAT","Whiteboard","SEND","GET","RESUME","TSEND","SENDT","XMIT","PassiveDCC","Server","RDCC","REVERSE","RSEND","Reverse/FirewallDCC","Fileservers(FSERVs)","XDCC"
