"Class","Class","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021","2022","2022","2022","2022"
"Class","","","","","","","","","","","","","","","","","","","","",""
"Flagship","Flagship","","","","","","","","","","","","","","","","Z9","Z9","Z9","Z9","Z9"
"Advanced","Advanced","","","Z7","Z7","Z7","Z7","Z7","Z7","Z7","Z7","Z7","Z7?","Z7?","Z7?","Z7?","Z7?","Z7?","Z7?","Z7?","Z7?"
"High-end","High-end","","","","Z6","Z6","Z6","Z6","Z6","Z6","Z6","Z6","Z6?","Z6?","Z6?","Z6?","Z6?","Z6?","Z6?","Z6?","Z6?"
"High-end","","","","","","","","","","","","","","","Zfc","Zfc","Zfc","Zfc","Zfc","Zfc",""
"Mid-range","Mid-range","","","","","","","","","","","Z5","Z5","Z5","Z5","Z5","Z5","Z5","Z5","Z5","Z5"
"Mid-range","","","","","","","","Z50","Z50","Z50","Z50","Z50","Z50","Z50","Z50","Z50","Z50","Z50","Z50","Z50",""
"Class","Class","","","","","","","","","","","","","","","","","","","",""
"Class","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021","2022","2022","2022","2022",""
