"Family","Level","Format","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021","2022","2022","2022","2022"
"Family","Level","Format","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CineAlta","CinemaLine","FF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VENICE","VENICE","VENICE","VENICE","VENICE","VENICE","VENICE","VENICE","VENICE","VENICE","VENICE","VENICE","VENICE","VENICE","VENICE","VENICE2","VENICE2","VENICE2","VENICE2","VENICE2"
"XDCAM","CinemaLine","","","","FF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mFX9","mFX9","mFX9","mFX9","mFX9","mFX9","mFX9","mFX9","mFX9","mFX9","mFX9","mFX9","mFX9","","mFX9"
"XDCAM","Documentary","S35","","","","","","","","","","","","","","","","","","","","mFS7","mFS7","mFS7","mFS7","mFS7","mFS7","mFS7","mFS7","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II","mFS7II"
"XDCAM","S35","","","","Mobility","","","","","","","","","","","","","","","","","","","mFS5","mFS5","mFS5","mFS5","mFS5","mFS5","mFS5","mFS5","mFS5","mFS5","","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5II","mFS5","mFS5II"
"NXCAM","S35","Professional","","","","","","","NEX-FS100","NEX-FS100","NEX-FS100","NEX-FS700","NEX-FS700","NEX-FS700","NEX-FS700","NEX-FS700","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","NEX-FS700R","","","","","","","","","","","","","","","","","",""
"NXCAM","Entry-level","APS-C","","","","","","","","","","","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","NEX-EA50","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Handycam","High-End","FF","","","","","","","","","","","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","mNEX-VG900","","","","","","","","","","","","","","","","","","","","","",""
"Handycam","Advanced","APS-C","","","sNEX-VG10","sNEX-VG10","sNEX-VG10","sNEX-VG10","sNEX-VG10","sNEX-VG20","sNEX-VG20","sNEX-VG20","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","mNEX-VG30","","","","","","","","","","","","","","","","","","","","","","","","",""
