"Audiocompressionformat","ACM","DirectShow","QuickTime","GStreamer","FFmpeg","MediaFoundation"
"8SVX","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"AAC","Yes","Yes(ffdshow,Monogram)","Yes","Yes(GStreamerFFmpegplug-in)","Yes","Yes"
"AC3","Yes","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes"
"ALS","?","?","?","?","?","?"
"AMR","No","No","Yes","Yes(GStreamerUglyPlug-ins)","Yes","Yes"
"ALAC","Yes","Yes(ffdshow)","Yes","Yes(GStreamerFFmpegplug-in)","Yes","Yes"
"aptX","?","?","?","?","Yes","?"
"ATRAC3","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"ATRAC3plus","No","No","No","No","Yes","Yes(ffdshow)"
"CELT","?","?","?","?","?","?"
"CookCodec","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"DCAakaDTS","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"DTS-HD","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"E-AC-3","Yes","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes"
"FLAC","yes","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerBasePlug-ins,GStreamerFFmpegplug-in)","Yes","Yes"
"HE-AAC","?","?","?","?","?","?"
"Monkey'sAudio","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"WavPack","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"Shorten","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"SonicAudio","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"MP3","Yes","Yes","Yes","Yes(GStreamerUgly,GStreamerFFmpegplug-in)","Yes","Yes"
"RealAudio","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in,GStreamerDLLloaderplugin+BinaryCodecPackages)","Yes","Yes(ffdshow)"
"Speex","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStramerGoodPlug-ins,GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"Vorbis","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerBasePlug-ins,GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"La???","No","No","No","No","No","Yes(ffdshow)"
"LPAC","No","No","No","No","No","Yes(ffdshow)"
"WindowsMediaAudiov1","Yes","Yes","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes"
"WindowsMediaAudiov2","Yes","Yes","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes"
"WindowsMediaAudioPro","Yes","Yes","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes"
"WindowsMediaAudioLossless","Yes","Yes","Yes(flip4mac)","Yes(GStreamerFFmpegplug-in)","Yes","Yes"
"WindowsMediaAudioVoice","Yes","Yes","No","No","Yes","Yes"
"Musepack","Yes(ffdshow)","Yes(ffdshow,Monogram)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"MeridianLosslessPacking","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"NellymoserAsaoCodecinFlash","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"OptimFROG","No","No","No","No","No","Yes(ffdshow)"
"Truespeech","Yes","Yes","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"TrueAudio(TTA)","Yes(ffdshow)","Yes(ffdshow)","Yes(Perian)","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"QCELP","Yes(ffdshow)","Yes(ffdshow)","Yes","Yes(GStreamerFFmpegplug-in)","Yes","Yes(ffdshow)"
"Audiocompressionformat","ACM","DirectShow","QuickTime","GStreamer","FFmpeg","MediaFoundation"
