"Model(Codename)","Launch","Architecture(Fab)","Core","Fillrate","Core","Memory","Memory","Memory","Fillrate","Processingpower(GFLOPS)","Memory","Businterface","Notes"
"Model(Codename)","Launch","Architecture(Fab)","Config(CU)","Clock(MHz)","Processingpower(GFLOPS)","Texture(GT/s)","Businterface","Notes","Pixel(GP/s)","Size(MB)","Bustype&width(bit)","Clock(MHz)","Band-width(GB/s)"
"FireProM5725(M96GL)","2009-01-01","Terascale2(55nm)","320:32:8(3)","680","21.6","5.4","432","256","GDDR3128-bit","800","25.6","PCIe2.0x16",""
"FireProM5800(MadisonXTGL)","2010-03-01","Terascale2(40nm)","400:20:8(5)","650","13","5.2","520","1024","GDDR5128-bit","800","25.6","PCIe2.0x16","HPEliteBook8540w"
"FireProM3900(SeymourXT)","2011-04-13","Terascale2(40nm)","160:8:4(2)","700","6.0","3.0","224","1024","DDR364-bit","900","14.4","PCIe2.1x16","HPElitebook8460w"
"FireProM5950(WhistlerXT)","2011-01-04","Terascale2(40nm)","480:24:8(6)","725","17.4","5.8","696","1024","GDDR5128-bit","900","57.6","PCIe2.1x16","DellPrecisionM4600,HPEliteBook8560w"
"FireProM7740(M97XTGL)","2009-08-04","Terascale1(40nm)","640:32:16(8)","650","20.8","10.4","832","1024","GDDR5128-bit","1000","64","PCIe2.0x16","DellPrecisionM6400andM6500"
"FireProM7820(JuniperXT)","2010-05-01","Terascale2(40nm)","800:40:16(10)","700","28","11.2","1120","1024","GDDR5128-bit","1000","64","PCIe2.0x16","DellPrecisionM6500,HPEliteBook8740w"
"FireProM8900(BlackcombXTGL)","2011-04-12","Terascale2(40nm)","960:48:32(12)","680","32.64","21.76","1310","2048","GDDR5256-bit","900","115.2","PCIe2.1x16","DellPrecisionM6600"
"FireProM2000(TurksGL)","2012-07-01","Terascale2(40nm)","480:24:8(6)","500","12","4","480","1024","GDDR564-bit","800","25.6","PCIe2.1x16","HPEliteBook8470w"
"FireProM4000(ChelseaXTGL)","2012-06-27","GCN1gen(28nm)","512:32:16(8)","600","19.2","9.6","614","2048","GDDR5128-bit","1000","51.2","PCIe2.1x16","HPEliteBook8570w,HPEliteBook8770w,DellPrecisionM4700(e.g.ConsumerHD7700MSerieDevID682D)"
"FireProM6000(HeathrowXTGL)","2012-06-27","GCN1gen(28nm)","640:40:16(10)","800","30","12","960","2048","GDDR5128-bit","1000","64","PCIe3.0x16","DellPrecisionM6700"
"FireProM4100(Mars)","2013-10-16","GCN1gen(28nm)","384:24:8(6)","670","16.1","5.4","514","2048","GDDR5128-bit","1000","64","PCIe3.0x16","HPZBook14"
"FireProW4170M(MarsXTX)","2014-04-28","GCN1gen(28nm)","384:24:8(6)","825","19.8","6.6","691.2","2048","GDDR5128-bit","1125","72","PCIe3.0x16","DellPrecisionM2800,HPZBook15uG2"
"FireProW4190M(Opal)","2015-11-12","GCN1gen(28nm)","384:24:8(6)","825","19.8","6.6","634","2048","GDDR5128-bit","900","72","PCIe3.0x16","HPZBook15uG3,MXM-3-A,OpenGL4.6,OpenCL2.0,TDP25W"
"FireProM5100(VenusXT)","2013-10-16","GCN1gen(28nm)","640:40:16(10)","775","31","12.4","992","2048","GDDR5128-bit","1125","72","PCIe3.0x16","DellPrecisionM4800,PanasonicToughbook54,HPZBook15G2(e.g.R9M200XSerieDevID6821)"
"FireProW5130M(TropoLE)","2015-10-02","GCN1gen(28nm)","512:32:16(8)","upto925","28.8","14.4","upto950","upto2048","GDDR5128-bit","1000","64","PCIe3.0x16","DellPrecision3510(e.g.ConsumerR7M465XDevID682B)MXM-3-A,DirectX12.0(featurelevel11_1),OpenGL4.6,OpenCL2.0,Vulkan1.0,TDP35W"
"FireProW5170M(TropoXT)","2014-08-25","GCN1gen(28nm)","640:40:16(10)","upto925","36.0","14.4","upto1180","upto2048","GDDR5128-bit","1125","72","PCIe3.0x16","DellPrecision7510,DellPrecision7710,HPZBook15G3(e.g.ConsumerR9M375XDevID6820REV083)MXM-3-A,DirectX12.0(featurelevel11_1),OpenGL4.6,OpenCL2.0,Vulkan1.0,TDP45W"
"FireProM6100(SaturnXTGL)","2013-10-16","GCN2gen(28nm)","768:48:16(12)","upto1100","51.6","17.2","1651.2","2048","GDDR5128-bit","1375/1500","88/96","PCIe3.0x16","DellPrecisionM6600/M6800,HPZbook17G2"
"FireProW6150M(SaturnXTGL)","2015-11-12","GCN2gen(28nm)","768:48:16(12)","1075","51.6","17.2","1651","4096","GDDR5128-bit","1375","88","PCIe3.0x16","HPZbook17G3,MXM-3-B,OpenGL4.6,OpenCL2.0,TDP100W"
"FireProW6170M(SaturnXTGL)","2014-08-25","GCN2gen(28nm)","768:48:16(12)","1075","51.6","17.2","1651","4096","GDDR5128-bit","1375","88","PCIe3.0x16","HPZBook17G2"
"FireProW7170M(AmethystXT)","2015-10-02","GCN3gen(28nm)","2048:128:32(32)","723","92.5","23.1","2960","4096","GDDR5256-bit","1250","160","PCIe3.0x16","DellPrecision7710,MXM-3-B,DirectX12.0(featurelevel11_1),OpenGL4.6,OpenCL2.0,Vulkan1.0,TDP100W"
