"Model","Micro-architecture","Launch","Chips","Coreclock(MHz)","Shaders","Memory","Processingpower(GFLOPS)","Processingpower(GFLOPS)","Memory","Memory","Memory","Shaders","Shaders","Memory","Processingpower(GFLOPS)","CUDAcomputeability","TDP(watts)","Notes,form_factor"
"Model","Micro-architecture","Launch","Chips","Coreclock(MHz)","Cudacores(total)","Baseclock(MHz)","Maxboostclock(MHz)","CUDAcomputeability","TDP(watts)","Notes,form_factor","Bustype","Buswidth(bit)","Size(GB)","Clock(MT/s)","Bandwidth(GB/s)","Singleprecision(MAD+MUL)","Singleprecision(MADorFMA)","Doubleprecision(FMA)"
"Units","","","","","","MHz","MHz","","","","","","","","","","W",""
"M6GPUaccelerator","Maxwell","August30,2015","1×GM204-995-A1","N/A","1536","722","1051","GDDR5","256","8","4600","147.2","No","2218–3229","69.3–100.9","5.2","75–100","InternalMXMGPU"
"M10GPUaccelerator","Maxwell","","4×GM107","N/A","2560","1033","?","GDDR5","4×128","4×8","5188","4×83","No","5289","165.3","5.2","225","InternalPCIeGPU(full-height,dual-slot)"
"M40GPUaccelerator","Maxwell","November10,2015","1×GM200","N/A","3072","948","1114","GDDR5","384","12or24","6000","288","No","5825–6844","182.0–213.9","5.2","250","InternalPCIeGPU(full-height,dual-slot)"
"M60GPUaccelerator","Maxwell","August30,2015","2×GM204-895-A1","N/A","4096","899","1178","GDDR5","2×256","2×8","5000","2×160","No","7365–9650","230.1–301.6","5.2","225–300","InternalPCIeGPU(full-height,dual-slot)"
"P4GPUaccelerator","Pascal","September13,2016","1×GP104","N/A","2560","810","1063","GDDR5","256","8","6000","192.0","No","4147–5443","129.6–170.1","6.1","50-75","PCIecard"
"P6GPUaccelerator","Pascal","March24,2017","1×GP104-995-A1","N/A","2048","1012","1506","GDDR5","256","16","3003","192.2","No","6169","192.8","6.1","90","MXMcard"
"P40GPUaccelerator","Pascal","September13,2016","1×GP102","N/A","3840","1303","1531","GDDR5","384","24","7200","345.6","No","10007–11758","312.7–367.4","6.1","250","PCIecard"
"P100GPUaccelerator(mezzanine)","Pascal","April5,2016","1×GP100-890-A1","N/A","3584","1328","1480","HBM2","4096","16","1430","732","No","9519–10609","4760–5304","6.0","300","NVLinkcard"
"P100GPUaccelerator(16GBcard)","Pascal","June20,2016","1×GP100","3584","N/A","1126","HBM2","4096","16","1430","732","1303","No","8071?9340","6.0","4036?4670","250","PCIecard"
"P100GPUaccelerator(12GBcard)","Pascal","1×GP100","June20,2016","1126","1303","N/A","3584","3072","250","PCIecard","12","HBM2","549","No","1430","8071?9340","4036?4670","6.0"
"V100GPUaccelerator(mezzanine)","Volta","","1×GV100-895-A1","N/A","5120","Unknown","1455","HBM2","4096","16or32","1750","900","No","14899","7450","7.0","300","NVlinkcard"
"V100GPUaccelerator(PCIecard)","Volta","June21,2017","1×GV100","N/A","5120","Unknown","1370","HBM2","4096","16or32","1750","900","No","14028","7014","7.0","250","PCIecard"
"V100GPUaccelerator(PCIeFHHLcard)","Volta","March27,2018","1×GV100","N/A","5120","937","1290","HBM2","4096","16","1620","829.44","No","13210","6605","7.0","250","PCIeFHHLcard"
"T4GPUaccelerator(PCIecard)","Turing","September12,2018","1×TU104-895-A1","N/A","2560","585","1590","GDDR6","256","16","Unknown","320","No","8100","Unknown","7.5","70","PCIecard"
"A2GPUaccelerator(PCIecard)","Ampere","November10th,2021","1×GA107","N/A","1280","1440","1770","GDDR6","128","24","Unknown","600","No","4531","140","8.6","40-60","PCIecard(halfheight,single-slot)"
"A10GPUaccelerator(PCIecard)","Ampere","April12th,2021","1×GA102-890-A1","N/A","9216","885","1695","GDDR6","384","24","Unknown","600","No","31240","976","8.6","150","PCIecard(single-slot)"
"A16GPUaccelerator(PCIecard)","Ampere","April12th,2021","4×GA107","N/A","10240","885","1695","GDDR6","4x128","4x16","Unknown","4x231.9","No","34712","1084.8","8.6","250","PCIecard(dual-slot)"
"A30GPUaccelerator(PCIecard)","Ampere","April12th,2021","1×GA100","N/A","3584","930","1440","HBM2","3072","24","Unknown","933.1","No","10320","5161","8.0","165","PCIecard(dual-slot)"
"A40GPUaccelerator(PCIecard)","Ampere","October5th,2020","1×GA102","N/A","10752","1305","1740","GDDR6","384","48","Unknown","695.8","No","37420","1168","8.6","300","PCIecard(dual-slot)"
"A100GPUaccelerator(PCIecard)","Ampere","May14th,2020","1×GA100-883AA-A1","N/A","6912","765","1410","HBM2","5120","40or80","Unknown","1555","No","19500","9700","8.0","250","PCIecard"
"Model","Micro-architecture","Launch","Chips","Coreclock(MHz)","Shaders","Memory","Processingpower(GFLOPS)","Processingpower(GFLOPS)","Memory","Memory","Memory","Shaders","Shaders","Memory","Processingpower(GFLOPS)","CUDAcomputeability","TDP(watts)","Notes,formfactor"
"Model","Micro-architecture","Launch","Chips","Coreclock(MHz)","Cudacores(total)","Baseclock(MHz)","Maxboostclock(MHz)","CUDAcomputeability","TDP(watts)","Notes,formfactor","Bustype","Buswidth(bit)","Size(GB)","Clock(MT/s)","Bandwidth(total)(GB/s)","Singleprecision(MAD+MUL)","Singleprecision(MADorFMA)","Doubleprecision(FMA)"
