"Model","Launch","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","APIcompliance","Memory","Memory","Fillrate","Fillrate","Fillrate","Memory","APIcompliance"
"Model","Launch","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MiB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"3DRage","April1996","500","PCI","40","40","1:0:1:1","40","40","40","0","2","0.32","EDO","64","5.0","None"
"3DRageII","September1996","500","AGP1x(RageIIconly),PCI","60","83(66MHzwithEDO)","1:0:1:1","60","60","60","0","2,4,8","0.664","EDO,SGRAM,SDR","64","5.0","None"
"RagePro","March1997","350","AGP1x,AGP2x,PCI","75","75","1:0:1:1","75","75","75","EDO,SGRAM,SDR","0","4,8,16","0.6","6.0","64","1.1"
"RageXL","August1998","250","AGP2x,PCI","83","125","1:0:1:1","83","83","83","0","6.0","1.1","8","1.0","SDR","64"
"Rage128VR","August1998","250","AGP2x,PCI","80","120","2:0:2:2","160","160","160","8,32","SDR","0.96","1.2","0","6.0","64"
"Rage128GL","August1998","250","2:0:2:2","AGP2x,PCI","103","103","206","206","1.2","206","16,32","1.648","SGRAM,SDR","128","0","6.0"
"Rage128Pro","August1999","250","2:0:2:2","AGP4x,PCI","125","16,32","143","SGRAM,SDR","128","250","250","1.2","250","2.288","0","6.0"
"Rage128Ultra","August1999","AGP4x,PCI","130","250","2:0:2:2","130","260","260","260","16,32,64","128","1.2","2.088","SDR","0","6.0"
"RageFuryMAXX","October1999","250","AGP4x","125","143","2:0:2:2x2","500","SDR","500","1.2","500","32x2","0","6.0","4.576","128x2"
