"Client","Developer","Initialrelease","Latestrelease","Latestrelease","License","Copyfilesover2GB"
"Client","Developer","Initialrelease","Version","License","Copyfilesover2GB","Date"
"ALFTP","ESTsoft","2000","5.31","2012-02-01","Proprietary","?"
"ExpanDrive(formerlySFTPDrive)","ExpanDrive,Inc","2005","Linux:2021.8.3macOS:2021.8.3Windows:2021.8.3","2021-08-172021-08-172021-08-17","Proprietary","Yes"
"ForkLift","BinaryNights,LLC","2007","3.5.4","2021-09-21","Proprietary","Yes"
"FTPCommander","InternetsoftCorporation","1997","9.21","2010-11-08","Proprietary","Yes"
"FTPExplorer","FTPxCorp.","October,1996","1.0.1.53","2012-01","Proprietary","?"
"Interarchy","NolobeSoftwarePtyLtd","1993(asAnarchie)","10.0.6","2014-08-18","Proprietary","Yes"
"Steed","FrenchFry,SAS","2012","1.2.1.1169","2017-06-27","Proprietary","Yes"
"Transmit","Panic,Inc.","1998","5.6.4","2020-04-20","Proprietary","Yes"
"WISE-FTP","AceBIT","1998","7.0(Build7.0.4)","2012-03-16","Proprietary","?"
"edtFTPj","BruceP.Blackshaw","2000","2.5.0","2016-07-06","Proprietary","Yes"
"edtFTPnet","BruceP.Blackshaw","2003","2.2.1","2011-08-26","Proprietary","Yes"
