"Program","ARWSony","CR2Canon","DNGAdobe","NEFNikon","ORFOlympus","PEFPentax","RAFFujifilm","SRWSamsung","X3FSigma","Others","Notes"
"ACDSee","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","cRAW,CRW,DCR,ERF,HDR,MRW,RAW,RWL,sRAW","[1]"
"Aperture","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","CRW,MOS,RAW,FFF,3FR","[2]"
"digiKam","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","Several","[3][4]"
"F-Spot","ARW?","CR2","DNG","NEF","ORF","PEF","RAF","SRW?","X3F?","CRW,MRW,RAW,SRF"
"FastPictureViewer(registerededition)","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","NRW,RW2,SR2,SRF,RWZetc.","[5]"
"FastStoneImageViewer","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","CR3,CRW,NRW,RWL,MRW,SR2,SRF,RW2","[6]"
"Geeqie","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","3FR,CRW,DCR,ERF,K25,KDC,MEF,MOS,MRW,PTX,R3D,RAW,SR2,SRF"
"IrfanView","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","CRW,EEF,DCR,MRW,NRW,RW2,SRF","[7]"
"PhaseOneMediaPro","ARW?","CR2?","DNG","NEF","ORF?","PEF?","RAF","SRW","X3F?","CRW,MOS,RAW"
"Picasa","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","3FR,CRW,DCR,KDC,MRW,NRW,RAW,RW2,SRF,SR2","[8]"
"Shotwell","ARW?","CR2?","DNG?","NEF?","ORF?","PEF?","RAF?","SRW?","X3F?","","Support""limited"",export8-bitonly[9]"
"XnViewandXnViewMP","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","CRW,RWZandmore","[10]"
"ZonerPhotoStudio","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","3FR,CRW,ERF,KDC,MEF,MRW,RAW,RW2,RWZ,SR2,SRF","[11]"
