"","Getobjecttype","Isinstanceof(includessubtypes)","Upcasting","Downcasting","Downcasting"
"","Getobjecttype","Isinstanceof(includessubtypes)","Upcasting","Runtimecheck","Nocheck"
"ABAPObjects","N/A","N/A","=","?="
"C++(STL)","typeid(x)","dynamic_cast<type*>(&x)!=nullptr","N/A","dynamic_cast<type*>(ptr)","(type*)ptrorstatic_cast<type*>(ptr)"
"C#","x.GetType()","xistype","N/A","(type)xorxastype",""
"D","typeid(x)","","N/A","cast(type)x",""
"Delphi","","xistype","N/A","xastype",""
"eC","x._class","eClass_IsDerived(x._class,type)","N/A","","(type)x"
"Java","x.getClass()","xinstanceofclass","N/A","(type)x",""
"Objective-C(Cocoa)","[xclass]","[xisKindOfClass:[classclass]]","N/A","","(type*)x"
"Swift","x.dynamicType","xistype","N/A","xas!typexas?type"
"JavaScript","x.constructor(Ifnotrewritten.)","xinstanceofclass","N/A","N/A","N/A"
"VisualBasic.NET","x.GetType()","TypeOfxIstype","N/A","CType(x,type)orTryCast(x,type)",""
"Xojo","Introspection.GetType(x)","xIsAtype","N/A","CType(x,type)","N/A"
"Eiffel","x.generating_type","attached{TYPE}x","attached{TYPE}xasdown_x",""
"Python","type(x)","isinstance(x,type)","N/A","N/A","N/A"
"PHP","get_class(x)","xinstanceofclass","N/A"
"Perl","ref(x)","x->isa(""class"")","N/A"
"Raku","x.WHAT","x.isa(class)","N/A","type(x)orx.type",""
"Ruby","x.class","x.instance_of?(type)orx.kind_of?(type)","N/A","N/A","N/A"
"Smalltalk","xclass","xisKindOf:class","N/A"
"WindowsPowerShell","x.GetType()","x-is[type]","N/A","[type]xorx-as[type]",""
"OCaml","N/A","N/A","N/A","(x:>type)","N/A"
"F#","x.GetType()","(x:>type)","x:?type","(x:?>type)",""
"COBOL","N/A","N/A","N/A","xAStype","N/A"
