"Service","Tagging","Groups","Conversation","Private","Privatefollowinglist","RSS","Atom","Bookmarklet"
"Tumblr","Yes","No","No","Yes","Yes","Yes","No","?"
"Facebook","Yes","Yes","Yes","Yes","?","Yes","No","?"
"GNUsocial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Twitter","Yes","No","Yes","Yes","Yes","No","No","No"
"Mastodon","Yes","No","Yes","Yes","?","No","Yes","No"
"Movim","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"micro.blog","Yes","No","Yes","No","?","Yes","No","No"
"Steamcommunity","Yes","Yes","Yes","Yes","Yes","","",""
