"Format","Languages","Ifnotfound"
"stringinstring(substring,pos,string[startpos:])","ALGOL68","returnsBOOL:TRUEorFALSE,andpositioninREFINTpos."
"InStr(«startpos,»string,substring)","VB(positionsstartat1)","returns0"
"INSTR$(string,substring)","BASIC(positionsstartat1)","returns0"
"index(string,substring)","AWK","returns0"
"index(string,substring«,startpos»)","Perl5","returns?1"
"index(string,substring«,startpos»)string.index(substring,«,startpos»)","Raku","returnsNil"
"instr(«startpos,»string,substring)","FreeBASIC","returns0"
"strpos(string,substring«,startpos»)","PHP","returnsFALSE"
"locate(string,substring)","Ingres","returnsstringlength+1"
"strstr(string,substring)","C,C++(char*only,returnspointertofirstcharacter)","returnsNULL"
"std.string.indexOf(string,substring)","D","returns?1"
"pos(string,substring«,startpos»)","Seed7","returns0"
"strings.Index(string,substring)","Go","returns?1"
"pos(substring,string)","Pascal,ObjectPascal(Delphi)","returns0"
"pos(substring,string«,startpos»)","Rexx","returns0"
"string.find(substring«,startpos»)","C++(STL)","returnsstd::string::npos"
"string.find(substring«,startpos«,endpos»»)","Python","returns?1"
"string.index(substring«,startpos«,endpos»»)","Python","raisesValueError"
"string.index(substring«,startpos»)","Ruby","returnsnil"
"string.indexOf(substring«,startpos»)","Java,JavaScript","returns?1"
"string.IndexOf(substring«,startpos«,charcount»»)","VB.NET,C#,WindowsPowerShell,F#","returns?1"
"string:str(string,substring)","Erlang","returns0"
"(string-containsstringsubstring)","Scheme(SRFI13)","returns#f"
"(searchsubstringstring)","CommonLisp","returnsNIL"
"(string-indexsubstringstring)","ISLISP","returnsnil"
"List.findIndex(List.isPrefixOfsubstring)(List.tailsstring)","Haskell(returnsJustindex)","returnsNothing"
"Str.search_forward(Str.regexp_stringsubstring)string0","OCaml","raisesNot_found"
"Substring.size(#1(Substring.positionsubstring(Substring.fullstring)))","StandardML","returnsstringlength"
"[stringrangeOfString:substring].location","Objective-C(NSString*only)","returnsNSNotFound"
"string.find(string,substring)(string):find(substring)","Lua","returnsnil"
"stringindexOfSubCollection:substringstartingAt:startposifAbsent:aBlockstringfindString:substringstartingAt:startpos","Smalltalk(Squeak,Pharo)","evaluateaBlockwhichisablockclosure(oranyobjectunderstandingvalue)returns0"
"startpos=INDEX(string,substring«,back»«,kind»)","Fortran","returns0ifsubstringisnotinstring;returnsLEN(string)+1ifsubstringisempty"
"POSITION(substringINstring)","SQL","returns0(positionsstartat1)"
"index(string,substring,startpos)","PL/I","returns0(positionsstartat1)"
"index(string,substring,occurrence)","PickBasic","returns0ifoccurrenceofsubstringisnotinstring;(positionsstartat1)"
"string.indexOf(substring«,startpos«,charcount»»)","Cobra","returns?1"
"stringfirstsubstringstringstartpos","Tcl","returns?1"
"(substring?string)?1","APL","returns1+thelastpositioninstring"
"string.find(substring)","Rust","returnsNone"
