"","MSHTML","Gecko","WebKit","KHTML","Presto","Prince","AntennaHouse"
"XLink","5.0","Partial","No","No","Partial","Partial","Partial"
"XMLBase","No","1.0","No","Yes","Yes","6.0","Yes"
"XPointer","?","Partial","No","No","No","?","No"
