"Name","Manufacturer","Release","Size","Type","Capacity(GB)","Storage","External","Dimensions(mm×mm)","Depth(mm)","Weight(g)","Firmware"
"Archos105","Archos","2007-08-31","","DAP","00022","Flash","SDHC","85×45","7","50","1.6.07"
"Archos405","Archos","2007-09-01","Mini","PMP","00022","Flash","SDHC","99.6×78","13.2","119.07","1.8.03"
"Archos405","Archos","2008-02-07","Mini","PMP","003030","HDD","","100×78","15","191","1.8.03"
"Archos5","Archos","2008-08-19","Mid","PMP","0500120/500","HDD","8–32GBandMicroSDSlot(SDHCcompatible)","127×78.8","19.4","300","1.6.53"
"Archos605WiFi/GPS","Archos","2007-09-01","Mid","PMP","00044","Flash","SDHC","122×81","15","150","1.8.03"
"Archos605WiFi/GPS","Archos","2007-09-01","Mid","PMP","016030/80/160","HDD","","122×81","15","190","1.8.03"
"Archos705WiFi","Archos","2007-11-27","Mega","PMP","016080/160","HDD","","182×128","19.69","630","1.8.03"
"CowonA3","Cowon","2007-11-14","Mid","PMP","008030/60/80","HDD","","133.4×78.5","22","280","1.24"
"CowonD2","Cowon","2006-12-05","Micro","PMP","00162/4/8/16","Flash","SDHC","78.0×55.4","16.6","91.0","2.57"
"CowonQ5W","Cowon","2007-11-30","Mid","PMP","008040/60/80","HDD","","138.8×88.5","20","380","1.5"
"CowonO2PMP","Cowon","","Mid","PMP","00328/16/32","Flash","","119×73","18","205",""
"GigabeatT-Series","Toshiba","2007-09-25","Micro","PMP","00044","Flash","","2.13×3.38","15","58.11","Norelease"
"GP2XF-200","GameParkHoldings","2007-10-28","Mid","PMP,HGC","006464","","SDHC","144×83","34","161","4.0.0"
"iPod","Apple","2001","","","","","","","","",""
"iPodclassic6G","Apple","2007-09-07","Mini","DAP","0160160","HDD","","104×61","10","140","1.1.2"
"iPodnano6G","Apple","2010-09-08","Micro","DAP","00168/16","Flash","","38×41","8.9","21","1.2"
"iPodtouch5G","Apple","2012-10-09","Mini","PMP","006432/64","Flash","","123.4x58.6","6.1","88","9.0"
"iriverclix2G","ReignCom","2007-04-24","Micro","PMP","00082/4/8","Flash","","80×47","8.1–12.7","54","1.07"
"PSPSlim&Lite","Sony","2007-08-30","Mid","PMP,HGC","006464","","MemoryStick","170×74","18","189","6.10"
"RioPMP300","DiamondMultimedia","1998-09-15","Mid","DAP","0.032","Flash","SmartMedia","89x63","16","",""
"SamsungGalaxyPlayer4.0&5.0","Samsung","2011-10-16","Mid","PMP","00088/16","Flash","microSDHC","123.7x64.2(4.0),141.3x78.2(5.0)","9.9(4.0),11.9(5.0)","121(4.0),182(5.0)","2.3.5"
"SamsungT10","Samsung","2007-09","","DAP","00082/4/8","Flash","","96×41.4","7.9","43","3.06"
"SamsungP2","Samsung","2007-09","","DAP","00084/8","Flash","","100×52","9.9","83","5.10"
"SansaFuze","SanDisk","2008-03-17","","DAP","00082/4/8","Flash","microSDHC","78.7×48.3","7.6","59.5","01.02.28&02.03.33"
"SansaFuze+","SanDisk","2010-09-01","","PMP","00084/8/16","Flash","microSDmicroSDHC","96.5×50.7","11.1","170","02.38.06"
"SansaView","SanDisk","2007-10-26","","PMP","00328/16/32","Flash","microSDHC","109×50","10","82","01.03.02a"
"WalkmanNWZ-A820series","Sony","2008-03-28","","DAP","00084/8/16","Flash","","89×43","10","54","1.02"
"WalkmanNWZ-E580series","Sony","2013-07-10","","DAP","00088/16","","","42.1x92.1","8","49",""
"ZEN","Creative","2007-09-14","Micro","PMP","00322/4/8/16/32","Flash","SDHC","83×55","11","65","1.21.01"
"ZENX-Fi","Creative","2008-07-10","Micro","PMP","00328/16/32","Flash","SD","83×55","13","69","1.03.01"
"ZENVisionW","Creative","2006-08-30","Mid","PMP","006030/60","HDD","CF","134×75","22","276","1.10.01"
"Zune30","Microsoft","2006-11-14","Mid","PMP","003030","HDD","","112×61","15","160","3.3"
"Zune4/8","Microsoft","2007-11-13","Micro","PMP","00084/8","Flash","","91×41","8.4","47","3.3"
"Zune16","Microsoft","2008-09-16","Micro","PMP","001616","Flash","","91×41","8.4","47","3.3"
"Zune80","Microsoft","2007-11-13","Mid","PMP","008080","HDD","","108×61","13","128","3.3"
"Zune120","Microsoft","2008-09-16","Mid","PMP","0120120","HDD","","108×61","13","128","3.3"
"ZuneHD","Microsoft","2009-09-15","Mini","PMP","006416/32/64","Flash","","104×53","8.9","74","4.5"
"Zvue260","Zvue","2007-07-17","","DAP","0000None","HDD","SDHC","106×65","13","120","2.80I_071012"
"Name","Manufacturer","Release","Size","Type","Capacity(GB)","Storage","External","Dimensions(mm×mm)","Depth(mm)","Weight(g)","Firmware"
