"Language","Officialwebsite","Softwarelicense","Remarks"
"ActionScript3","ActionScriptTechnologyCenter","Free",""
"APL(APLX,Dyalog,GNU)","APLWiki","Licensedbytherespectiveimplementation","?SS(PCRE),?R/?S(PCRE),?SS(PCRE2),respectively"
"C++11(C++)","C++standardswebsite","Licensedbytherespectiveimplementation","SinceISO14822:2011(e),similartoECMAScriptondefault(GrammarDescription)"
"D","D","BoostSoftwareLicense",""
"Go","Golang.org","BSD-style",""
"Haskell","Haskell.org","BSD3","Omittedinthelanguagereport,andinGHC'sHierarchicalLibraries"
"Java","Java","GNUGeneralPublicLicense","REsarewrittenasstringsinsourcecode:allbackslashesmustbedoubled,harmingreadability."
"JavaScript(ECMAScript)","ECMA-262","BSD3","LimitedbutREsarefirst-classcitizensofthelanguagewithaspecific/.../modsyntax."
"Julia","JuliaLang.org","MITLicense","REsarepartofthelanguagecorelibraryusingPCREbuilt-inandanoptionalwrapperfor(Ccode)ICUisavailable."
"Lua","Lua.org","MITLicense","Usessimplified,limiteddialect;canbeboundtomorepowerfullibrary,likePCREoranalternativeparserlikeLPeg."
"Mathematica","Wolfram","Proprietary",""
".NET","MSDN","MITLicense",""
"Nim","nim-lang.org","MITLicense","StandardlibraryincludesPCRE-basedreandnremodules,aswellasvariousalternatives(ex.strutils,pegs(ParsingExpressionGrammarmatching),strscans,parseutils,etc.)."
"FreePascal(ObjectPascal)","www.freepascal.org","LGPLwithstaticlinkingexception","FreePascal2.6+shipswithTRegExprfromSorokinandtwootherregularexpressionlibraries;Seewiki.lazarus.freepascal.org/Regexpr."
"OCaml","Caml","LGPL","Asof2010,thestandardmoduleisgenerallyregardedasdeprecated;oftenrecommendedlibrariesarepcre(withfullsupportforPCRE)andre(whichisnotascompletebutclaimsbetterperformanceandprovidesfrontendstopopularsyntaxes:PCRE,Perl,Posix,Emacs,shellglobbing)."
"Perl","Perl.com","ArtisticLicense,orGNUGeneralPublicLicense","Full,centralpartofthelanguage"
"PHP","PHP.net","PHPLicense","Hastwoimplementations,withPCREbeingthemoreefficientinspeed,functions"
"POSIXC(C)","POSIX.1webpublication","Licensedbytherespectiveimplementation","SupportsPOSIXBREandEREsyntax"
"Python","python.org","PythonSoftwareFoundationLicense","Pythonhastwomajorimplementations,thebuiltinreandtheregexlibrary."
"Ruby","ruby-doc.org","GNULibraryGeneralPublicLicense","Ruby1.8,Ruby1.9,andRuby2.0andlaterversionsusedifferentengines;Ruby1.9integratesOniguruma,Ruby2.0andlaterintegrateOnigmo,aforkfromOniguruma."
"Rust","docs.rs","MITLicense","Theprimaryregexcratedoesnotallowlook-aroundexpressions.ThereisanOnigurumabindingcalledonigthatdoes."
"SAPABAP","SAP.com","Proprietary",""
"Tcl","tcl.tk","Tcl/TkLicense(BSD-style)","Tcllibrarydoublesasaregularexpressionlibrary."
"WolframLanguage","WolframResearch","Proprietary:usableforfreeonalimitedscaleontheWolframDevelopmentplatform",""
"XMLSchema","W3C","Licensedbytherespectiveimplementation"
"XPath3/XQuery","W3C","Licensedbytherespectiveimplementation"
