"Esperanto","Ido","English","German","French","Italian","Spanish","Portuguese"
"bubalo","bufalo","buffalo","Büffel","buffle","bufalo","búfalo","búfalo"
"?elo","celulo","cell","Zelle","cellule","cellula","célula","célula"
"?irka?","cirkum","around/circa","ungefähr/circa","autourde","circa","alrededor,cerca","aoredorde,emvoltade"
"dedi?i","dedikar","todedicate","widmen","dédier","dedicare","dedicar","dedicar"
"edzo","spoz(ul)o","husband/spouse","Ehemann","époux","sposo","esposo","esposo/marido"
"elasta","elastika","elastic","elastisch","élastique","elastico","elástico","elástico"
"estonteco","futuro","future","Zukunft","futur","futuro","futuro","futuro"
"kaj","e(d)","and","und","et","e(d)","y/e","e"
"lernejo","skolo","school","Schule","école","scuola","escuela","escola"
"limo","limito","limit","Limit","limite","limite","límite","limite"
"ma?i","mastikar","tochew/masticate","kauen","mâcher","masticare","masticar","mastigar"
"mencii","mencionar","tomention","erwähnen","mentionner","menzionare","mencionar","mencionar"
"nacio","naciono","nation","Nation","nation","nazione","nación","nação"
"penti","repentar","torepent","bereuen","repentir","pentirsi","arrepentirse","arrepender-se"
"?ipo","navo","boat/ship","Schiff","bateau/navire","barca/nave","barco/nave/navío","bote/barca/barco/nave/nau/navio"
"ta?mento","detachmento","detachment","Abteilung","détachement","distaccamento","destacamento","destacamento"
"vipuro","vipero","viper","Viper","vipère","vipera","víbora","víbora"
