"Othersoftware","GUI","CLI","Other","Programminglanguage","Basedon"
"ADCCore","No","No","No","C#","CoreDC"
"DCBouncer","No","Yes","No","C++",""
"DC-Hublink","Yes","No","No","VisualBasic",""
"DCWatch","No","Yes","No","Java,Lua","Embla"
"Embla","No","No","No","Java",""
"FlowLib","No","No","No","C#",""
"NetChatLink","Yes","No","No","Delphi",""
"AnnouncerBot","No","No","No","Lua",""
"Certmanager","Yes","No","No","wxLua",""
"ADChub","GUI","CLI","Other","Programminglanguage","Basedon"
