"API","Desktopsupport","Embeddedsystemsupport","License"
"Direct3D","MicrosoftWindows,Xbox","WindowsEmbedded,WindowsCE(throughDirect3DMobile)","Proprietary"
"OpenGL","Cross-platform","Cross-platformthroughOpenGLES","Openstandard,somefeaturespatented"
