"Software","Keywords","Descriptions","CustomTagFields","Metadata","KnowledgeTags","Notes"
"Connectbeam","Yes","Yes","No","No","No","none"
"Dogear","Yes","No","No","No","No","none"
"Jumper2.0","Yes","Yes","Yes","Yes","Yes","none"
"KnowledgePlaza","Yes","Yes","Yes","Yes","No","none"
"Scuttle","Yes","Yes","No","No","No","none"
