"Codename","Model","Year","Fabricationprocess(nm)","SATAPorts","USBPorts","Audio","IDEChannels(2Devices/Channel)","Notes"
"IXP200","Radeon320(M)/330/34x(M)/350M/360IGP","2002","","0","6USB2","AC'97","2ATA100","A-Link,3Com10/100Ethernet"
"IXP250","Radeon320(M)/330/34x(M)/350M/360IGP","2002","","0","6USB2","AC'97","2ATA100","A-Link,3Com10/100Ethernet,DMI,MBA,ASF,WOL"
"SB300C","","2003","","1(SATA150Mbit/s)","6","AC'97","2(ATA133)","10/100Ethernet,APM"
"IXP380/SB380","","2003","","1(SATA150Mbit/s)","6(USB2.0)","AC'97","2(ATA133)","10/100Ethernet,APM,8-bitHyperTransportlinks"
"IXP400/SB400","RadeonXpress200RadeonXpress1150","2004","","4","8","HD","2",""
"IXP450/SB450","RadeonXpress200RadeonXpress1150","2004","","4","8","HD","2(UDMA100/133)","RAID0and1"
"IXP460/SB460","RadeonXpress1600RadeonXpress1150","2004","","4","8","HD","1",""
"SB600","AMD480/570/580CrossFireChipset","2006","130","4","10","HD","1(ATA133)","RAID0,1,10eSATA,ASF2.0"
