"Name","Panoramaleveling","Vignettingcorrection","Lensdistortioncorrecting","Whitebalancecorrection","Exposurecorrection","Viewpointadjustment","Notes"
"PanoweaverStandard/Professional","Yes","Yes","Yes","Yes","Yes","Yes",""
"Dermandar","Yes","No","Yes","No","Yes","No",""
"i2AlignQuickageExpress/Pro","Yes","?","Yes","?","Yes","No",""
"PixtraPanoStitcher","Yes","Yes","Yes","No","Yes","No","Alsochromaticaberrationcorrectionifcorrectionparametersprovided"
"PixtraOmniStitcher","Yes","Yes","Yes","No","Yes","No","Alsochromaticaberrationcorrectionifcorrectionparametersprovided"
"QuickPHOTO","No","Yes","No","Yes","Yes","No",""
"PhotoFitHarmony/Premium","Yes","?","Yes","Yes","?","No",""
"PanoramaPlusX4","Yes","?","?","?","?","No",""
"PanoramaBuilder7.0/PanoramaBuilder7.0Pro","?","?","?","?","?","No",""
"360PanoramaProfessional","?","?","?","?","?","No",""
"VRstitcherFisheyePro","Yes","?","Yes","?","?","No",""
"COOL360","?","?","?","?","?","No",""
"PanaVueImageAssemblerStd./Pro./Ent.","Yes","?","Yes","Yes","?","No",""
"ThePanoramaFactoryv5","?","Yes","Yes","?","?","No",""
"PixMakerLite/Home/Business","?","?","?","?","?","No",""
"PTAssembler","Yes","Yes","Yes","Yes","Yes","No",""
"PTgui/PTguiPro","Yes","Yes","Yes","Yes","Yes","Yes",""
"AutopanoPro/Giga/Server","Yes","Yes","Yes","Yes","Yes","Yes*","(*)Gigaonly."
"Autostitch","Yes","No","No","No","No","No",""
"CalicoPanorama","Yes","?","?","?","?","No",""
"Hugin","Yes","Yes","Yes","Yes","Yes","Yes",""
"3DVistaStitcher3.0","?","?","?","?","?","No",""
"DJoiner","No","No","No","No","No","No",""
"PanoramaMaker6","?","?","?","?","?","No",""
"PhotovistaPanorama","No","No","No","No","No","No",""
"PanoramaStudio/Pro","Yes","Yes","Yes","?","Yes","No",""
"StitcherUnlimited2009","?","?","?","Yes","?","No",""
"ADGPanoramaTools/Pro","Yes","?","?","Yes","?","No",""
"PanoramaComposer3","Yes","?","?","?","?","No",""
"ImageCompositeEditor","Yes","Yes","Yes","No","Yes","No",""
"PanoramaPerfect","Yes","Yes","?","Yes","Yes","No",""
"Photoshop","Yes","Yes","Yes","Yes","Yes","No",""
"AIPRLite1","No","Yes*","Yes","No","No","No","(*)colormappingabouttheseamsgreatlymitigatestheeffectsofvignetting"
"GigapanStitch1.0","No","No","Yes","No","No","No"
"PanoramaMaker","Yes","?","Yes","?","Yes","No"
"PanoramaStitcher","Yes","Yes","Yes*","No","Yes","Yes","(*)Onlyforrectilinearlenses"
"SharpStitch","Yes","Yes","No","Yes","Yes","Yes",""
"Pano2VR/Pano2VRpro","Yes","No","No","No","No","Yes",""
"Name","Panoramaleveling","Vignettingcorrection","Lensdistortioncorrecting","Whitebalancecorrection","Exposurecorrection","Viewpointadjustment","Notes"
