"Country","Spaceplane","Firstflightmission","Year","Programstatus"
"Japan","HOPE-X","HYFLEX","1996","Cancelled"
"China","Various","Shenlong","2007","Ongoing"
"India","RLV–TD","HypersonicFlightExperiment","2016","Underdevelopment"
