"Graphics","Launch","Market","Processor","Codename","DeviceID","Clockrate(MHz)","Coreconfig","APIsupport","APIsupport","APIsupport","APIsupport","eDRAM(MB)","Memorybandwidth(GB/s)"
"Graphics","Launch","Market","Processor","Codename","DeviceID","Clockrate(MHz)","Coreconfig","Direct3D","eDRAM(MB)","Memorybandwidth(GB/s)","OpenGL","OpenCL","Vulkan"
"IrisGraphics6100","Mobile","Corei5-5257U","162B","2015","300–1050","Broadwell(Gen8)","12FL11_1","384:48:6(GT3)","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"IrisGraphics6100","Mobile","Corei5-5287UCorei7-5557U","162B","2015","300–1100","Broadwell(Gen8)","12FL11_1","384:48:6(GT3)","4.44.14.6ES3.2","2.01.22.1","1.1","-","25.6"
"IrisProGraphics6200","2015","Desktop","Corei5-5575R","1622","384:48:6(GT3)","Broadwell(Gen8)","300–1050","128","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","25.6"
"IrisProGraphics6200","Desktop","Corei5-5675CCorei5-5675R","1622","2015","128","300–1100","Broadwell(Gen8)","12FL11_1","384:48:6(GT3)","4.44.14.6ES3.2","2.01.22.1","1.1","25.6"
"IrisProGraphics6200","Desktop","Corei7-5775CCorei7-5775R","1622","2015","128","300–1150","Broadwell(Gen8)","12FL11_1","384:48:6(GT3)","4.44.14.6ES3.2","2.01.22.1","1.1","25.6"
"IrisProGraphics6200","Mobile","2015","1622","Corei7-5850EQ","128","300–1000","Broadwell(Gen8)","384:48:6(GT3)","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","25.6"
"Mobile","IrisProGraphics6200","Corei5-5350H","2015","1622","300–1050","128","Broadwell(Gen8)","12FL11_1","384:48:6(GT3)","4.44.14.6ES3.2","2.01.22.1","1.1","25.6"
"Mobile","IrisProGraphics6200","Corei7-5750HQCorei7-5850HQ","2015","1622","300–1100","128","Broadwell(Gen8)","12FL11_1","384:48:6(GT3)","4.44.14.6ES3.2","2.01.22.1","1.1","25.6"
"Mobile","IrisProGraphics6200","Corei7-5950HQ","2015","1622","300–1150","128","Broadwell(Gen8)","12FL11_1","384:48:6(GT3)","4.44.14.6ES3.2","2.01.22.1","1.1","25.6"
"IrisProGraphicsP6300","2015","Workstation","XeonE3-1278Lv4","162A","128","384:48:6(GT3)","Broadwell(Gen8)","800–1000","12FL11_1","4.44.14.6ES3.2","2.01.22.1","1.1","25.6"
"IrisProGraphicsP6300","Workstation","XeonE3-1265Lv4","162A","2015","300–1050","Broadwell(Gen8)","12FL11_1","128","384:48:6(GT3)","4.44.14.6ES3.2","2.01.22.1","1.1","25.6"
"IrisProGraphicsP6300","Workstation","XeonE3-1285v4XeonE3-1285Lv4","162A","2015","300–1150","Broadwell(Gen8)","12FL11_1","128","384:48:6(GT3)","4.44.14.6ES3.2","2.01.22.1","1.1","25.6"
