"English","Malay","Indonesian"
"yesterday","semalam","kemarin"
"you","anda(veryformal),awak,kamu,engkau,kau","anda(everydayformal),kamu(familiaronly),engkau('kau)(prose)"
"zero","sifar","nolfromDutchnul"
"zipper(fastener)","zip","resletingfromDutchritssluiting"
"zone","zon","daerah,zona"
"zoo","zoo,tamanhaiwan(kebunbinatangwasalsofrequentlyusedinMalaysiabeforethemid-1960s)","kebunbinatang(derivedfromDutchdierentuin,lit.""animalgarden""),tamanmargasatwa(moreformalformforzoologicalpark)"
