"Client","Self-destructingmessages","Readmessages","Sentmessages","Readmessages","Self-destructingmessages","Self-destructingmessages","Self-destructingmessages","Self-destructingmessages","Self-destructingmessages","Readmessages","Sentmessages"
"Client","Exists","Defaultsetting","Receiverdeletion","Settingreceipts","Contact-basedsetting","Deletesent/readonread","Receipts","Deleting","Deletingrequest","Editing","Deleting"
"Briar","No","-","","","","","Yes","","","",""
"Discord","No","-","","","","","No","","","Yes","Yes"
"eBuddy","Yes","","","","","","Yes","","","No","Partial"
"Element","No","-","","","","","Yes","","","Partial","Yes"
"Gadu-Gadu","","","","","","","","","","",""
"Gajim","No","-","","","","","","","","Yes",""
"GoogleMessages(RCS)","No","","","","","","Yes","","","","Yes"
"ICQ","","","","","","","","","","","Yes"
"Jami","Yes","Disabled","","","","","","","","",""
"Jitsi","No","-","","","","","","","","",""
"Kadu","","","","","","","","","","",""
"KakaoTalk","","","","","","","","","","",""
"Keybase","Yes","","","","","","Yes","","","Yes","Yes"
"KikMessenger","","","","","","","","","","",""
"Line","No","-","","","","","Yes","","","No","Partial"
"Linphone","","","","","","","","","","",""
"Mattermost","No","-","","","","","No","","","Yes","Yes"
"MCabber","","","","","","","","","","",""
"Messages","No","-","","","","","","","","",""
"Messenger","Yes","","","","","","Yes","","","No","Yes"
"Movim","No","-","","","","","","","","Yes","Yes"
"Palringo","","","","","","","","","","",""
"Paltalk","","","","","","","","","","",""
"Pidgin","","","","","","","","","","Yes",""
"Psi","","","","","","","","","","Yes",""
"RetroShare","No","-","","","","","Yes","","","No","No"
"Ricochet","","","","","","","","","","",""
"Sicher","Yes","","","","","","","","","",""
"Signal","Yes","Disabled","","","","","Yes","","","No","Partial"
"SilentPhone","Yes","","","","","","","","","",""
"Skype","","","","","","","Yes","","","Yes","Yes"
"Slack","","","","","","","Yes","","","Yes","Yes"
"Snapchat","Yes","","","","","","Yes","","","No","Yes"
"Surespot","No","-","","","","","","","","",""
"TeamNote","","","","","","","No","","","Yes","Yes"
"Telegram","Yes","Disabled","","","","","Yes","","","Yes","Yes"
"TencentQQ","","","","","","","","","","",""
"Threema","No","-","","","","","Yes","","","No","Yes"
"Trillian","","","","","","","Yes","","","",""
"Viber","Yes","","","","","","Yes","","","Yes","Yes"
"WeChat","","","","","","","","","","",""
"WhatsApp","No","-","","","","","Yes","","","No","Partial"
"WickrMe","Yes","6days","","","","","","","","","Yes"
"Wire","Yes","","","","","","Yes","","","Yes","Yes"
"Client","Self-destructingmessages","Readmessages","Sentmessages","Readmessages","Self-destructingmessages","Self-destructingmessages","Self-destructingmessages","Self-destructingmessages","Self-destructingmessages","Readmessages","Sentmessages"
"Client","Exists","Defaultsetting","Receiverdeletion","Settingreceipts","Contact-basedsetting","Deletesent/readonread","Receipts","Deleting","Deletingrequest","Editing","Deleting"
