"Model","USB","Ethernet","Bluetooth","Videointerface","SDcardslot","FaceTimecamera"
"MacMiniM1","2USB-Aportsand2Thunderbolt3USB-C4.0ports","Yes","Bluetooth5.0","HDMI2.0andThunderbolt3/USB-C","No","No"
"MacMini(Intel)","2USB-Aportsand4Thunderbolt3USB-Cports","Yes","Bluetooth5.0","HDMI2.0andThunderbolt3/USB-C","No","No"
"iMac24in(twoports)","2Thunderbolt/USB4ports","Configurable","Bluetooth5.0","Thunderbolt3/USB-Cports","No","1080pFaceTimeHDcamera"
"iMac24in(fourports)","2Thunderbolt/USB4portsand2USB3ports","Yes","Thunderbolt3/USB-Cports","1080pFaceTimeHDcamera","Bluetooth5.0","No"
"MacStudio","2USB-Aports,2USB-C3.2Gen2,and4Thunderbolt4USB-C4.0ports","10GbEthernetport","Bluetooth5.0","Thunderbolt4USB-C4.0ports/HDMI2.0","Yes","No"
"MacPro","3USB-Aports(oneinsidecase)andThunderbolt3USB-Cports(numberdependentongraphicsconfiguration)","Two10GbEthernetports","Bluetooth5.0","HDMIandThunderbolt3/DisplayPort/USB-Cports(numberdependentongraphicsconfiguration)","No","No"
"MacBookAir","2Thunderbolt3USB-C4.0ports","No","Bluetooth5.0","No","Thunderbolt3/USB-Cports","720pFaceTimeHDcamera"
"MacBookPro13""","2Thunderbolt3USB-C4.0ports","No","Thunderbolt3/USB-Cports","720pFaceTimeHDcamera","Bluetooth5.0","No"
"MacBookPro14""","3Thunderbolt4USB-C4.0ports","No","Thunderbolt4USB-C4.0ports/HDMI2.0","Bluetooth5.0","Yes","1080pFaceTimeHDcamera"
"MacBookPro16""","3Thunderbolt4USB-C4.0ports","Thunderbolt4USB-C4.0ports/HDMI2.0","Yes","1080pFaceTimeHDcamera","Bluetooth5.0","No"
