"Model","Launch","Codename","Process","Transistors(billion)","Diesize(mm)","Coreconfig","Businterface","L2Cache(MB)","Clockspeeds","Memory","Fillrate","Processingpower(GFLOPS)","Ray-tracingPerformance","Processingpower(GFLOPS)","Processingpower(GFLOPS)","Releaseprice(USD)","Memory","Memory","Clockspeeds","Clockspeeds","Memory","Fillrate","Processingpower(GFLOPS)","Ray-tracingPerformance","TDP(Watts)","NVLinksupport","Releaseprice(USD)"
"Model","Launch","Codename","Process","Transistors(billion)","Diesize(mm)","Coreconfig","Businterface","L2Cache(MB)","Basecoreclock(MHz)","Boostcoreclock(MHz)","Memory(MT/s)","Size(GiB)","Bandwidth(GB/s)","TDP(Watts)","NVLinksupport","Bustype","Buswidth(bit)","Pixel(GP/s)","Texture(GT/s)","Singleprecision","Doubleprecision","Halfprecision","Tensorcompute(FP16)","Rays/s(Billions)","RTXOPS/s(Trillions)","MSRP","FoundersEdition"
"GeForceRTX2060","January15,2019","TU106-200-KA-A1","TSMC12FFN","10.8","445","1920:120:48:240:30(30)(3)","PCIe3.0x16","3","1365","1680","14000","6","336.0","GDDR6","192","65.5280.64","163.80201.60","5?241.606?451.20","163.80201.60","10?483.2012?902.40","41?932.8051?609.60","5","37","160","No","$349",""
"GeForceRTX2060","January10,2020","TU104-150-KC-A1","TSMC12FFN","13.6","545","1920:120:48:240:30(30)(3)","PCIe3.0x16","3","1365","1680","14000","6","336.0","GDDR6","192","65.5280.64","163.80201.60","5?241.606?451.20","163.80201.60","10?483.2012?902.40","41?932.8051?609.60","5","37","160","No","$299",""
"GeForceRTX2060","December7,2021","TU106-300","TSMC12FFN","10.8","445","2176:136:64","PCIe3.0x16","3","1470","1650","14000","12","336.0","GDDR6","192","","","","","","","","","185","No","no",""
"GeForceRTX2060Super","July9,2019","TU106-410-A1","TSMC12FFN","10.8","445","2176:136:64:272:34(34)(3)","PCIe3.0x16","4","1470","1650","14000","8","448.0","GDDR6","256","94.08105.60","199.92224.40","6?400.007?180.00","199.00224.00","12?800.0014?360.00","$399","51?200.0057?440.00","6","41","175","No","$399"
"GeForceRTX2070","October17,2018","TU106-400-A1","10.8","445","TSMC12FFN","4","2304:144:64:288:36(36)(3)","1410","8","448.0","256","1620","PCIe3.0x16","90.24103.68","203.04233.28","6?497.287?464.96","14000","6","203.04233.28","175","12?994.5614?929.92","GDDR6","51?978.2459?719.68","42","$499","$599","No"
"GeForceRTX2070Super","July9,2019","TU104-410-A1","TSMC12FFN","13.6","545","4","2560:160:64:320:40(40)(5)","PCIe3.0x16","8","448.0","256","1605","$499","1770","102.70113.28","14000","256.80283.20","8?220.009?060.00","GDDR6","256.80283.20","16?440.0018?120.00","65?760.0072?480.00","7","52","215","2-wayNVLink","$499"
"GeForceRTX2080","September20,2018","TU104-400-A1","13.6","545","TSMC12FFN","2944:184:64:368:46(46)(6)","1515","4","1710","PCIe3.0x16","8","448.0","256","96.96109.44","278.76314.64","215","2-wayNVLink","8?920.3210?068.48","14000","278.76314.64","17?840.6420?136.96","GDDR6","71?362.5680?547.84","8","57","$699","$799"
"GeForceRTX2080Super","July23,2019","TU104-450-A1","13.6","545","TSMC12FFN","3072:192:64:384:48(48)(6)","1650","4","1815","PCIe3.0x16","8","8","15500","$699","256","496.0","105.60116.16","316.80348.48","2-wayNVLink","10?140.0011?150.00","316.80348.50","GDDR6","20?280.0022?300.00","81?120.0089?200.00","63","250","$699"
"GeForceRTX2080Ti","September27,2018","TU102-300-K1-A1","TSMC12FFN","18.6","754","4352:272:88:544:68(68)(6)","PCIe3.0x16","5.5","1350","1545","14000","11","616.0","GDDR6","250","352","118.80135.96","2-wayNVLink","367.20420.24","11?750.4013?447.68","367.20420.24","23?500.8026?895.36","94?003.20107?581.44","10","76","$999","$1,199"
"NvidiaTITANRTX","December18,2018","TU102-400-A1","18.6","754","TSMC12FFN","4608:288:96:576:72(72)(6)","1350","6","14000","1770","PCIe3.0x16","24","672.0","384","129.60169.92","388.80509.76","12?441.6016?312.32","GDDR6","388.80509.76","24?883.2032?624.64","2-wayNVLink","99?532.80130?498.56","11","84","280-320","N/A","$2,499"
