"Audiocompressionformat","Creator","Firstpublicreleasedate","Lateststableversion","Cost","Cost","Proprietaryimplementations(codecs)","Open-sourceimplementations(codecs)","Uses(otherthanconsumeraudio)","Musicreproduction(consumeraudio)","Telephonyapp","Losslessaudiocompression","Patented","DRM"
"Audiocompressionformat","Creator","Firstpublicreleasedate","Lateststableversion","Encoder","Proprietaryimplementations(codecs)","Open-sourceimplementations(codecs)","Uses(otherthanconsumeraudio)","Musicreproduction(consumeraudio)","Telephonyapp","Losslessaudiocompression","Patented","DRM","Player"
"AAC","ISO/IECMPEGAudioCommittee","1997","ISO/IEC14496-3","Non-free","Non-free","FAAC(encodingonly),NeroDigitalAudio,AppleCoreAudio(viaQuickTime,iTunesorafconvert)","FAAD2(decodingonly),FFmpeg,Audiocogs(decodingonly),FraunhoferFDKAAC","DigitalTVservice,DigitalRadio,Internetstreaming","Yes","AAC-LD/AAC-ELD","MPEG-4SLS","Yes","FairPlay(.m4ponly,discontinued)"
"AC-3","DolbyLaboratories","1992","ATSCA52:2012","Free","Free","DVDplayers,digitaltelevision","FFmpeg,liba52(decodingonly),Aften(encodingonly),libavc(2.0channelsmax)","Theatricalmoviepresentation,DigitalTVservice&home-video(personalrecorders,DVD,etc.)","No","No","No","No","?"
"ALAC","AppleInc.","2004-04-28","QuickTime7.6","Free","Free","QuickTime,iTunes,RealPlayer","MacOSforge,FFmpeg,Audiocogs(decodingonly)","Musicarchival","Yes","No","Yes","Free","Possible,butneverimplemented"
"ALS","ISO/IECMPEGAudioCommittee","2005","ISO/IEC14496-3","Free","Free","MPEG-4ALS","FFmpeg(decodingonly)","-","Yes","No","Yes","Yes","?"
"AMBE","DigitalVoiceSystems","?","?","Non-free","Non-free","?","mbelib","LowbandwidthHF/VHFdigitalradio,VoIPtrunking","No","No","No","Yes","?"
"AMR","3GPP","1999-06-22","ETSITS126071V9.0.0(2009)","Non-free","Non-free","QuickTime,RealPlayer","FFmpeg(decodingonly),FFmpegwithOpenCORElibraries,Android","voicerecording","No","Yes","No","Yes","No"
"AMR-WB(G.722.2)","3GPP","2001-04-10","ETSITS126190V8.0.0(2009-01)","Non-free","Non-free","QuickTime,RealPlayer","FFmpeg(decodingonly),FFmpegwithVisualOnlibraries,Android(decodingonly),opencore-amrforbothencodinganddecoding","voicerecording","No","Yes","No","Yes","No"
"AMR-WB+","3GPP","2004-06-14","ETSITS126290V8.0.0(2009-01)","Non-free","Non-free","?","?","voicerecording","Yes","Yes","No","Yes","No"
"aptX","Qualcomm","1989","2007","Non-free","Non-free","Broadcastaudiocodecs:2wcomsystems,Systembase,APT,AVT,HarrisCorporation,MAYAH,Prodys,Qbit;wirelessheadphones:iSkin,JayBirdGear,DTSdiscsformovies","FFmpeg","LowlatencyStudio/transmitterlink,BluetoothA2DPstereo,digitalwirelessmicrophone","Yes","No","No","Yes","No"
"ATRAC","SonyCorp.","1991","ATRAC3plus","Non-free","Non-free","MiniDisc,Walkman,VAIO,Clie,PlayStation3,PlayStationPortable,SDDS,SonicStage,SoundForge,RealPlayer,ConnectPlayer","FFmpeg(decodingonly,ATRACAdvancedLosslessisonlypartiallysupported)","voicerecording,theatricalmoviepresentation","Yes","No","Yes","Yes","Yes"
"BroadVoice(BV16,BV32)","Broadcom","2009-08-19","1.2","Free","Free","?","?","Speech,VoIP,Lowlatency,voicerecording","No","Yes","No","Free","No"
"CELT","Xiph.OrgFoundation,Jean-MarcValin","2007-12-08","0.11.1(mergedintoOpus)","Free","Free","?","libcelt,FFmpegwithlibceltlibrary(decodingonly)","Speech,VoIP,Lowlatency,Studio/transmitterlink,wirelessaudio","Yes","Yes","No","No","No"
"Codec2","DavidRowe","2010","Developmental","Free","Free","?","c2enc,c2dec","LowbandwidthHF/VHFdigitalradio,VoIPtrunking","No","Yes","No","No","No"
"EnhancedAC-3(E-AC-3)","DolbyLaboratories","?","ATSCA52:2012","Non-free","Non-free","Digitaltelevision","FFmpeg","Theatricalmoviepresentation,digitalTVservice&home-video(personalrecorders,DVD,etc.)","No","No","No","Yes","Yes"
"EVS","Fraunhofer,JVCKenwood,NTT,NTTDocomo,Panasonic,Ericsson","2014","?","Non-free","?","?","?","?","?","?","?","Yes","?"
"FLAC","Xiph.OrgFoundation,JoshCoalson","2001-07-20","1.3.3(2019-08-04)","Free","Free","","FLAC,Flake(encodingonly),FFmpeg,FLACCL(encodingonly),Audiocogs(decodingonly)","Musicarchival","Yes","No","Yes","No","No"
"G.711","ITU-T","1972(ITU-Tstandardfrom1988)","G.711AppendixII(02/00)","Free","Free","VariousproprietaryVoIPsoftware","FFmpeg,Ekiga,Asterisk(PBX)andalmostanyVoIPsoftware","voicerecording","No","Yes","No","No","No"
"G.722","ITU-T","1988-11","","Free","Free","VariousproprietaryVoIPsoftware","Asterisk(PBX),QuteCom,FFmpeg","voicerecording","No","Yes","No","No","No"
"G.722.1","ITU-T","1999-09","G.722.1(05/05)","Free","Free","VariousproprietaryVoIPsoftware","FreeSWITCH,PJSIP,etc","voicerecording","No","Yes","No","Yes","No"
