"Model","CodeName","ReleaseDate","CPUSocket","ProcessorsSupported","Fab(nm)","FSB/HTFrequency(MHz)","Memory","PCI-Express","SLI","PCI","USB","PATA","SATA","LAN","Sound","Graphics","Notes"
"nForce730i","MCP7A","October16,2008","LGA775","IntelCore2,PentiumDual-Core,Core-basedCelerons","","1333MHz","DDR3-1333/DDR2-800dualchannel","2.020lanes","No","5Ports","12PortsRev2.0","1PortsUDMA133","6Ports3.0Gbit/s","1000Mbit/s","HDA","GeForce9300",""
"nForce740iSLI","MCP7A","October16,2008","LGA775","IntelCore2,PentiumDual-Core,Core-basedCelerons","","1333MHz","DDR3-1333/DDR2-800dualchannel","2.020lanes","x8+x8","5Ports","12PortsRev2.0","1PortsUDMA133","6Ports3.0Gbit/s","1000Mbit/s","HDA","none",""
"nForce750iSLI","Crush72+MCP51+nForce200","2007","LGA775","IntelCore2,PentiumDual-Core,Core-basedCelerons","90nm","1333MHz","DDR2-800dualchannel","2.024lanes1.12lanes","x8+x8","5Ports","8PortsRev2.0","2PortsUDMA133","4Ports3.0Gbit/s","1000Mbit/s","HDA","none","UnofficialsupportDDR2-1066"
"nForce760iSLI","MCP7A","October16,2008","LGA775","IntelCore2,PentiumDual-Core,Core-basedCelerons","","1333MHz","DDR3-1333/DDR2-800dualchannel","2.020lanes","x8+x8","5Ports","12PortsRev2.0","1PortUDMA133","6Ports3.0Gbit/s","1000Mbit/s","HDA","GeForce9300",""
"nForce780iSLI","Crush72+MCP55+nForce200","December17,2007","LGA775","IntelCore2,PentiumDual-Core,Core-basedCelerons","90nm","1333MHz","DDR2-800dualchannel","1PortUDMA133","6Ports3.0Gbit/s","2.032lanes1.130lanes","x16+x16+x16","5Ports","10PortsRev2.0","2×1000Mbit/s","none","UnofficialsupportDDR2-1066","HDA"
"nForce790iSLI","Crush73+MCP55","March2008","LGA775","IntelCore2,PentiumDual-Core,Core-basedCelerons","2.032lanes1.130lanes","x16+x16+x16","90nm","2×1000Mbit/s","1600MHz","DDR3-1333dualchannel,upto8GB","1PortUDMA133","6Ports3.0Gbit/s","10PortsRev2.0","none","5Ports","CompatiblewithIntel05B/05A/06processors","HDA"
