"KernelName","a.out","ECOFF","ELF","FDPICELFbinaries(mmuless)","flatbinaries(superH)","HUNK","Mach-O","Misc(wrapperbased,likeinterpreters)","PE","SOM(PA-RISC,HP-UX)","NLM","PEF","DOSCOM","MZ","LE","LX","NE"
"AmigaExec","No","No","Yes","No","No","Yes","No","No","No","No","?","?","?","?","?","?","?"
"DragonFlyBSDkernel","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"HP-UXkernel","No","No","Yes","No","No","No","No","No","No","Yes","No","No","?","?","?","?","?"
"Linuxkernel","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Some","Yes","?","No","?","?","?","?","?"
"MINIX3kernel","Some","No","Yes","No","No","No","No","No","No","No","No","No","?","?","?","?","?"
"NetBSDkernel","Yes","Yes","Yes","?","?","?","Yes","?","Yes","?","?","?","?","?","?","?","?"
"ReactOSkernel","?","?","?","?","?","?","?","?","Yes","?","?","?","?","?","?","?","?"
"Solariskernel","Yes","No","Yes","No","No","No","No","No","Some","No","?","?","?","?","?","?","?"
"WindowsNTkernel","No","No","YeswithWSL","No","No","No","No","No","Yes","No","No","No","Yesonx86","Yesonx86","?","?","Yesonx86"
"XNU","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
