"","Singleprecision","Doubleprecision","Otherprecision","Processordependent"
"Ada","Float","Long_Float","N/A"
"ALGOL68","real","longreal","shortreal,longlongreal,etc."
"C","float","double","longdouble"
"C++(STL)","float","double","longdouble"
"Objective-C(Cocoa)","float","double","longdouble","CGFloat"
"C#","float","double","N/A"
"Java","float","N/A","double"
"Go","float32","N/A","float64"
"Rust","f32","N/A","f64"
"Swift","FloatFloat32","DoubleFloat64","Float80","CGFloat"
"D","float","double","","real"
"CommonLisp","single-float","double-float","float,short-float,long-float"
"Scheme","","",""
"ISLISP","","",""
"Pascal(FreePascal)","single","double","","real"
"VisualBasic","Single","Double","N/A"
"VisualBasic.NET","Single","Double","N/A"
"Xojo","Single","Double","N/A"
"Python","N/A","float",""
"JavaScript","N/A","Number","N/A"
"S-Lang","","",""
"Fortran","REAL(KIND=n)","REAL(KIND=n)",""
"PHP","","float",""
"Perl","","",""
"Raku","num32","num64","","Num"
"Ruby","N/A","Float","N/A"
"Scala","Float","Double","N/A"
"Seed7","N/A","float","N/A"
"Smalltalk","Float","Double","N/A"
"WindowsPowerShell","",""
"OCaml","N/A","float","N/A"
"F#","float32","float","N/A"
"StandardML","N/A","","N/A","real"
"Haskell(GHC)","Float","Double",""
"Eiffel","REAL_32","REAL_64",""
"COBOL","FLOAT-BINARY-7","FLOAT-BINARY-34","FLOAT-SHORT,FLOAT-LONG,FLOAT-EXTENDED"
"Mathematica","N/A","N/A","","Real"
