"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Clockrate","Clockrate","Fillrate","Memory","Processingpower(GFLOPS)","TDP(Watts)","Memory","APIsupport(version)","APIsupport(version)","Memory","Coreconfig","Fillrate","Memory","Processingpower(GFLOPS)","TDP(Watts)","CrossfireSupport","APIsupport(version)","ReleasePrice(USD)"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Core(MHz)","Coreconfig","Memory(MHz)","Pixel(GP/s)","Texture(GT/s)","Size(MB)","CrossfireSupport","Bandwidth(GB/s)","ReleasePrice(USD)","Bustype","Buswidth(bit)","Singleprecision","Doubleprecision","Idle","Max.","Direct3D","OpenGL","OpenCL"
"RadeonHD5450","Feb4,2010","CedarPRO","40","292","59","PCIe2.1x16PCIPCIe2.1x1","650650650","400800800","80:8:4","2.6","5.2","51210242048","6.412.8","DDR2DDR3","64","104","N/A","6.4","19.1","No","11.3(11_0)","4.5","1.2","~50"
"RadeonHD5550","Feb9,2010","RedwoodLE","40","627","104","PCIe2.1x16","550550550","400800800","320:16:8","4.4","8.8","51210242048","12.825.651.2","DDR2GDDR3GDDR5","128","352","N/A","10","39","No","11.3(11_0)","4.5","1.2","~70"
"RadeonHD5570","Feb9,2010","RedwoodPRO","627","104","PCIe2.1x16","650650","40","400900","400:20:8","5.2","DDR2GDDR3GDDR5","128","13.0","10","39","12.828.857.6","520","80","51210242048","N/A","No","11.3(11_0)","4.5","1.2"
"RadeonHD5610","RedwoodPRO","May14,2011","650","400:20:8","5.2","13.0","627","520","104","PCIe2.1x16","40","500","1024","16.0","GDDR3","","128","","N/A","39","No","11.3(11_0)","4.5","1.2"
"RadeonHD5670","Jan14,2010","RedwoodXT","627","400:20:8","104","PCIe2.1x16","40","775775","8001000","6.2","15.5","51210242048","128","25.664.0","GDDR3GDDR5","620","15","64","4-wayCrossfire","99","N/A","11.3(11_0)","4.5","1.2"
"RadeonHD5750","Oct13,2009","JuniperPRO","40","1040","PCIe2.1x16","170","700700","11501150","720:36:16","11.2","25.2","128","4-wayCrossfire","5121024","73.6","GDDR5","1008","16","86","N/A","129","11.3(11_0)","4.5","1.2"
"RadeonHD5770","Oct13,2009","JuniperXT","1040","170","850850","40","12001200","PCIe2.1x16","800:40:16","5121024","13.6","GDDR5","34.0","76.8","1360","18","128","4-wayCrossfire","108","159","N/A","11.3(11_0)","4.5","1.2"
"RadeonHD5830","Feb25,2010","CypressLE","40","2154","PCIe2.1x16","334","800","1000","1120:56:16","12.8","44.8","GDDR5","1024","4-wayCrossfire","128.0","256","1792","358.4","25","175","239","11.3(11_0)","4.5","1.2"
"RadeonHD5850","Sep30,2009","CypressPRO","2154","334","40","725725","PCIe2.1x16","10001000","1440:72:32","23.2","128.0","256","52.2","10242048","2088","GDDR5","417.6","4-wayCrossfire","27","151","259","11.3(11_0)","4.5","1.2"
"RadeonHD5870","Sep23,2009","CypressXT","2154","334","40","850850","PCIe2.1x16","10242048","12001200","1600:80:32","27","27.2","68.0","256","153.6","2720","GDDR5","544","4-wayCrossfire","188228","379","11.3(11_0)","4.5","1.2"
"RadeonHD5870EyefinityEdition","Mar11,2010","CypressXT","850","2154","1600:80:32","27.2","68.0","153.6","2720","544","334","40","1200","PCIe2.1x16","2048","228","479","27","11.3(11_0)","256","4.5","1.2","GDDR5","4-wayCrossfire"
"RadeonHD5970","Nov18,2009","HemlockXT","40","2154×2","PCIe2.1x16","334×2","725725","10001000","1600:80:32×2","46.4","116.0","GDDR5","1024×22048×2","128×2","256×2","4640","928","51","294","2-wayCrossfire","599","11.3(11_0)","4.5","1.2"
"Model","Launch","Codename","Fab(nm)","Transistors(Million)","DieSize(mm²)","Businterface","Core(MHz)","Memory(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","SinglePrecision","DoublePrecision","Idle","Max.","CrossfireSupport","Direct3D","OpenGL","OpenCL","ReleasePrice(USD)"
"Clockrate","Fillrate","Memory>","Processingpower(GFLOPS)","TDP(W)","APIsupport(version)","APIsupport(version)","Memory>","Memory>","Model","Launch","Codename","Fab(nm)","Transistors(Million)","DieSize(mm²)","Businterface","Clockrate","Fillrate","Coreconfig","Memory>","Processingpower(GFLOPS)","TDP(W)","APIsupport(version)","CrossfireSupport","ReleasePrice(USD)"
