"Client","Labelmessages","Reformatreceivedmessages","Labelmessages","Composingmessages","Nativeimagespreview","Nativeimagespreview","Nativedocumentspreview","Nativedocumentspreview","Nativedocumentspreview","Nativedocumentspreview","Nativedocumentspreview","Nativedocumentspreview","Nativeimagespreview","Nativeimagespreview","Composingmessages","Labelmessages","Labelmessages","Reformatreceivedmessages","Bi-directionaltextsupport","Composingmessages","Nativeimagespreview","Postpone/scheduledmessagesending","Nativedocumentspreview"
"NetscapeMessenger","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"NetscapeMessenger9","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"nmh/MH","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"OperaMail","Yes","Yes","No","No","?","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","APNG,ICO,SVG,WBMP,XBM,WebP","No","No","No","No","No","No","No","No"
"OutlookExpress","No","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","ICO,art","?","?","?","?","?","?","?","?"
"PegasusMail","Yes","Yes","Yes","Yes","inindex","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","TIFF","N/A","Yes","No","No","No","No","No","RTF,HTML"
"Pine","Yes","Yes","?","?","No","withapatch","?","Yes","Yes","?","No","No","No","No","No","?","?","?","?","?","?","?","?"
"Pocomail","Yes","Yes","?","Yes","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"RoundCube","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","?"
"SeaMonkeyMail&Newsgroups","Yes","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"SquirrelMail","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Sylpheed","Yes","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","Yes","No","No","No","No","No","?"
"TheBat!","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ICO,emf","Yes","Yes","No","No","No","No","No","No"
"Trojitá","No","Yes","?","?","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes"
"Turnpike","Yes","?","?","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","No","?","?","?","?","?","?","?","?","?"
"WindowsLiveMail","No","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"WindowsMail","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"YAM","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Zimbra","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"Client","Labelmessages","Reformatreceivedmessages","Labelmessages","Composingmessages","Nativeimagespreview","Nativeimagespreview","Nativedocumentspreview","Nativedocumentspreview","Nativedocumentspreview","Nativedocumentspreview","Nativedocumentspreview","Nativedocumentspreview","Nativeimagespreview","Nativeimagespreview","Composingmessages","Labelmessages","Labelmessages","Reformatreceivedmessages","Bi-directionaltextsupport","Composingmessages","Nativeimagespreview","Postpone/?scheduledmessagesending","Nativedocumentspreview"
"Client","withcolors","withflag","Bi-directionaltextsupport","antidelete","addnote","Postpone/?scheduledmessagesending","editheaders(e.g.,Subject)","forcedrecode","Spellchecking","Signatures","Bottom-postsreplies","jpeg","gif","bmp","png","others","txt","pdf","doc","xls","odt","ods","others"
