"Client","Customemoji","Stickers","GIFsearch","Themes/skins"
"Briar","Yes","No","","No"
"Discord","Yes","Yes","Yes","No"
"eBuddy","No","No","","Yes"
"Element","Yes","Yes","No","Yes"
"Gadu-Gadu","No","","",""
"Gajim","Yes","","","Yes"
"GoogleMessages(RCS)","","Yes","Yes","No"
"ICQ","Yes","Yes","","Yes"
"Jami","","","",""
"Jitsi","Yes","","",""
"Kadu","Yes","","","Yes"
"KakaoTalk","No","","",""
"Keybase","Yes","No","","Yes,only2officialskins"
"KikMessenger","Yes","","","Yes"
"Line","No","Yes","Yes","Yes"
"Linphone","","","",""
"Mattermost","Yes","No","","Yes"
"MCabber","No","","",""
"Messages","No","","","No"
"Messenger","No","Yes","Yes","Yes"
"Movim","No","Yes","","No"
"Palringo","No","","","Yes"
"Paltalk","No","","","Yes"
"Pidgin","Yes","No","No","Yes"
"Psi","Yes","","","Yes"
"RetroShare","No","Yes","",""
"Ricochet","No","","",""
"Sicher","No","","",""
"Signal","No","Yes","Yes","Yes"
"SilentPhone","No","","",""
"Skype","No","Yes","Yes","No"
"Slack","Yes","","","Yes"
"Snapchat","No","Yes","Yes","No"
"Surespot","No","","","Yes"
"TeamNote","No","","",""
"Telegram","No","Yes","Yes","Yes"
"TencentQQ","No","","","Yes"
"Threema","No","Yes","","Yes"
"Trillian","Yes","","","Yes"
"Viber","No","Yes","Yes","Yes"
"WeChat","No","","",""
"WhatsApp","No","Yes","Yes","No"
"WickrMe","No","","","No"
"Wire","No","No","","No"
"Client","Customemoji","Stickers","GIFsearch","Themes/skins"
