"Client","InternetExplorer","MicrosoftEdge","MozillaFirefox","Opera","Safari","GoogleChrome","other"
"BookmarkSync","Yes","No","Yes","Yes","Yes(MacOnly)","No","SeaMonkey"
"OperaLink","No","No","No","Yes","No","No","OperaMini,OperaMobile"
"FirefoxSync","No","No","Yes","No","No","No","FirefoxforMobile,SeaMonkey,GnomeWeb"
"","","","","","","",""
"Eversync","Yes","No","Yes","Yes","No","Yes","No"
"floccus","No","Yes","Yes","No","No","Yes","No"
"Client","InternetExplorer","MicrosoftEdge","MozillaFirefox","Opera","Safari","GoogleChrome","other"
