"Meaning","Spanish","Portuguese"
"mayor","alcalde<Hisp.Ar.<Arabicalqá?i<q??i","presidentedacâmara(municipal)/prefeito<Lat.praesidens+camara/praef?ctus"
"bricklayer,stonemason","albañil<Hisp.Ar.<Arabicalbanní<bann?","pedreiro<Lat.petra"
"potter","alfarero<Hisp.Ar.<Arabicalfa???r<fa???r","oleiro<Lat.ollarius"
"vest","chaleco<Alg.Ar.<Turkxileco<yelek","colete<Ita.coletto"
"basil","albahaca<Hisp.Ar.<Arabical?abáqa<?abaqah","basílico,manjericão<Lat.,uncertainoriginbasilicum,uncertain"
"bean","alubia<Hisp.Ar.<Arabicalubía<al-lubiya???????","feijão<Lat.faseolus"
"celery","chirivía<Hisp.Ar.alcaravea<alkarawíyya","aipo<Lat.apium"
"watermelon","sandía<Hisp.Ar.<Arabicsindiyya?????","melancia<Lat.bilancia<bilanx"
"pistachio","alfóncigo,pistacho<Hisp.Ar.<Arabicfustuq","pistácio,pistacho<Lat<Grepistacium<pistákia"
"cheese-flavouredroll","almojábana<Hisp.Ar.almu?ábbana<?ubn","pãodequeijo,bolinhadequeijo<Lat.panis,bulla+caseus"
"thrush","zorzal<Hisp.Ar.<Arabiczurzál<zurzir","tordo<Lat.turdus"
"hobby(bird)","alcotán<Hisp.Ar.<Arabicqu?án<qa??m","ógea<uncertainorigin*maybeO.Fra.hobe"
"mackerel","jurel<Hisp.Ar<Latšuríl<saurus","cavala<Gaulish<Celt.caballos"
"seabream","mojarra<Ar.Hisp.<Arabicmoharra<mu?árraf","dourada<Lat.<Provençalaurata,daurada"
"scorpion","alacrán,escorpión<His.Ar.<Arabic,Lat.al'aqráb<aqrab,scorp?o","escorpião<Lat.scorp?o"
"mercury","azogue,mercurio<His.Ar.<Arabicazzáwq<z?w?q","mercúrio<Lat.Mercurius"
"breastcancer","zaratán,cáncerdemama<Arabic,Lat.saratan,cancermamma","cancro/câncerdamama<Lat.cancermamma"
"robe(bath)","albornoz<Hisp.Ar.<Arabicburnús<burn?s","roupão,robe<Gothic,Fra.rauba,robe"
"hostess,stewardess","azafata<Hisp.Ar<Arabic.assafá?<safá?","hospedeira(debordo)<Lat.hospitis"
"sewage(system),gutter","alcantarilla<Hisp.Ar.<Arabicalqán?ara<qán?arah","esgoto,goteira<Lat.guttae"
"jerk","mamarracho<Hisp.Ar<Arabicmuharrá?<muharri?","parvo<Lat.parvulus"
"drunk,drunkard","borracho<Cat<Arabicmarratxa<mirrassa","bêbado<Lat.bibitum"
"tocrimp,tocompress,tolink(verb)","engarzar<Hisp.Ar.<Arabic?árza<?arzah","engrenar,endentar,comprimir<Lat.granum,dens,comprimere"
"toduckout,toskiveoff(verb)","escaquearse<Hisp.Ar.<Arabiciššáh<š?h","escapar<Lat.<Proto-Italicexcapp?<,kaput"
"tosave(financial)(verb)","ahorrar<Arabic.alhurr????","poupar<Lat.palp?<palp?re"
"corner,edge","rincón<Hisp.Ar.<Arabicrukán<rukn","canto<Celtickant"
"flowerbed,smallgarden,vegetablepatch","arriate<Hisp.Ar.<Arabicarriyá?<riy??","canteiro<Celtickant"
"Majorcan","mallorquí,mallorquín<Lat.maiorica+Arabicgentilicsuffix-iyy","Maiorquino<Latmaiorica+-inus"
"Iraqi","iraquí,irakí<Arabicdemonymiraqiyy?????","Iraquiano<Lat.+suffixIraqi+-anus"
