"Name","FOSS","Platform","Details"
"CrushFTPServer","No,proprietary","MacOSX,Windows,Linux,*BSD,Solaris,etc.","FTP,FTPS,SFTP,SCP,HTTP,HTTPS,WebDAVandWebDAVoverSSL,AS2,AS3,PluginAPI,WindowsActiveDirectory/LDAPauthentication,SQLauthentication,GUIremoteadministration,Events/Alerts,X.509userauthforHTTPS/FTPS/FTPES,MD5hashcalculationsonallfiletransfers,ProtocolConversion(incomingFTP/FTPS/SFTP/HTTP/HTTPSprotocolsconvertedtoabackendFTP/SFTPserver.),SSHTunneling,HTTP(S)Tunneling,CrushTask,Headless(Webbrowsermanagement,oryoucaneditXMLfilesdirectly,orissueterminalcommandstoaddusers,managegroups,inheritance,permissions,queryserverstatistics,etc.)SupportscloudstorageviaS3,Azure,Citrixfilestorage,HadoopandGoogleDriveforfiledata.SupportforCrushBalanceloadbalancer,orothersviaproxyprotocolv1andv2."
"glFTPd","No,proprietary","Linux,BSD,MacOSX","Virtualusersandgroups,privatepaths,bandwidththrottling,upload/downloadratiosupport,ontheflyCRCcalculatingoffilesbeinguploaded,scriptsupportonalmostallcommandsandoperations,onlineusermanagement,built-instatisticsviewableusingsitecommands,FTPSandACLsupport.SupportsFXP."
"ProFTPD","Yes,GPL","Unix-like(Linux,BSD,MacOSX,andmore),WindowswithCygwin","FeaturerichandpopularFTPdaemonforUnix-likeplatforms.ManythirdpartyGraphicalUserInterfaces(GUIs)available.SFTPcanbesupportedviaadd-onmodule."
"Pure-FTPd","Yes,BSDLicense","Linux,BSD,MacOSX,andmore","SupportsFXP."
"vsftpd","Yes,GPLv2","Linux,BSD,andmore","FTP,FTPS,FTPES.SupportsX.509clientcertauth.deny/enablelistsforuseraccess.Loggingdatacanbecompatiblewithwu-ftpdformat.vsftpdisdefaultFTPdaemoninUbuntu,CentOS,Fedora,Slackware(alongwithProFTPD),NimbleXandRHEL.OtherslikeDebianrequireanadditionalinstallation.GPLv2licensewithexceptionforlinkingwithOpenSSL."
"WU-FTPD","No,proprietary","Linux,BSD,Solaris,MacOSXandmore","Mainwebsiteseemsoffline,butcontinuesdevelopmentinthenewerCCseries"
