"","","MSHTML","Tasman","Gecko","WebKit","KHTML","Presto"
"ExceptionDOMException","ExceptionDOMException","ExceptionDOMException","ExceptionDOMException","ExceptionDOMException","ExceptionDOMException","ExceptionDOMException","ExceptionDOMException"
"DOM1","code","5.0","?","1.0","?","?","1.0"
"InterfaceDOMStringList","InterfaceDOMStringList","InterfaceDOMStringList","InterfaceDOMStringList","InterfaceDOMStringList","InterfaceDOMStringList","InterfaceDOMStringList","InterfaceDOMStringList"
"DOM3","length","6.0","No","1.6","No","?","2.0"
"DOM3","contains()","6.0","No","1.6","No","?","2.0"
"DOM3","item()","6.0","No","1.6","No","?","2.0"
"InterfaceNameList","InterfaceNameList","InterfaceNameList","InterfaceNameList","InterfaceNameList","InterfaceNameList","InterfaceNameList","InterfaceNameList"
"DOM3","length","No","No","1.6","No","No","No"
"DOM3","getName()","No","No","1.6","No","No","No"
"DOM3","getNamespaceURI()","No","No","1.6","No","No","No"
"DOM3","contains()","No","No","1.6","No","No","No"
"DOM3","containsNS()","No","No","1.6","No","No","No"
"InterfaceDOMImplementationList","InterfaceDOMImplementationList","InterfaceDOMImplementationList","InterfaceDOMImplementationList","InterfaceDOMImplementationList","InterfaceDOMImplementationList","InterfaceDOMImplementationList","InterfaceDOMImplementationList"
"DOM3","length","No","No","No","No","No","No"
"DOM3","item()","No","No","No","No","No","No"
"InterfaceDOMImplementationSource","InterfaceDOMImplementationSource","InterfaceDOMImplementationSource","InterfaceDOMImplementationSource","InterfaceDOMImplementationSource","InterfaceDOMImplementationSource","InterfaceDOMImplementationSource","InterfaceDOMImplementationSource"
"DOM3","getDOMImplementation()","No","No","No","No","No","No"
"DOM3","getDOMImplementationList()","No","No","No","No","No","No"
"InterfaceDOMImplementation","InterfaceDOMImplementation","InterfaceDOMImplementation","InterfaceDOMImplementation","InterfaceDOMImplementation","InterfaceDOMImplementation","InterfaceDOMImplementation","InterfaceDOMImplementation"
"DOM1","hasFeature()","6.0","?","1.0","Yes","?","1.0"
"DOM2","createDocumentType()","9.0","No","1.0","Yes","?","1.0"
"DOM2","createDocument()","9.0","No","?","1.0","1.0","Yes"
"DOM3","getFeature()","No","No","No","No","?","1.0"
"InterfaceDocumentFragment","InterfaceDocumentFragment","InterfaceDocumentFragment","InterfaceDocumentFragment","InterfaceDocumentFragment","InterfaceDocumentFragment","InterfaceDocumentFragment","InterfaceDocumentFragment"
