"Name","Windows","macOS","GNU/Linux","BSD","Unix","Android","ChromeOS","iOS","iPadOS"
"AbilityOffice","Yes","No","No","No","No","No","No","No","No"
"ApacheOpenOffice","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Discontinued-BreadboxOffice","DOS,Windows","No","No","No","No","No","No","No","No"
"CalligraSuite","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"CollaboraOnline","Yes","Yes","Yes","Online","Online","Yes","Yes","Yes","Yes"
"FengOfficeCommunityEdition","Online","Online","Online","Online","Online","No","No","No","No"
"GNUTeXmacs","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Discontinued-GobeProductive","Yes","No","No","No","No","No","No","No","No"
"GoogleWorkspace","YesOfflineandOnline","YesOfflineandOnline","YesOfflineandOnline","No","No","YesOfflineandOnline","YesOfflineandOnline","YesOfflineandOnline","YesOfflineandOnline"
"HancomOffice","OfflineandOnline","Online","Online","Online","Online","Yes","No","No","No"
"iWork","Online(iCloud)","Yes","Online(iCloud)","Online(iCloud)","Online(iCloud)","No","No","Yes","Yesh"
"KOffice","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"LibreOffice","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"LotusSmartSuite","Yes","No","Some(Wine)","No","No","No","No","No","No"
"MicrosoftOffice","Yes","Partial","Some(Wine)","No","No","Yes","No","Yes","Yes"
"MicrosoftWorks","Yes","Dropped","Some(Wine)","No","No","No","No","No","No"
"OfficeSuite","Yes","No","No","No","No","No","Yes","No","No"
"NeoOffice","No","Yes","No","No","No","No","No","No","No"
"OnlyOffice","Yes","Yes","Yes","Online","Online","Yes","Yes","Yes","Yes"
"SoftMakerOffice","Yes","Yes","Yes","Dropped(2006)","No","Yes","Yes","No","No"
"StarOffice","Yes","Yes(Intelonly)","Yes","Yes","Yes","No","No","No","No"
"TeamLab","Online","Online","Online","Online","Online","No","No","No","No"
"TikiWikiCMSGroupware","Online","Online","Online","Online","Online","No","No","No","No"
"WordPerfectOffice","Yes","No","Some(v.2000)","No","No","No","No","No","No"
"WPSOffice","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes"
"ZohoOfficeSuite","Online","Online","Online","Online","Online","No","Yes","No","No"
"Name","Windows","macOS","GNU/Linux","BSD","Unix","Android","ChromeOS","iOS","iPadOS"
