"Flag","Country","IOC","FIFA","ISO"
"","BritishHonduras","HBR1972","BHO",""
"","Burma","BIR1988","BUR1989","BUR1989"
"","Ceylon","CEY1972","CEY1972",""
"","Dahomey","DAH1972","DAH1975","DHY1977"
"","Czechoslovakia","TCH1992","TCH1993","CSK1993"
"","EastGermany","GDR1988","GDR1990","DDR1990"
"","KhmerRepublic","KHM1976","?1975",""
"","Malaya","MAL1960","?1963",""
"","NetherlandsAntilles","AHO2010","ANT2010","ANT2010"
"","NorthBorneo","NBO1956","NBO1963",""
"","NorthYemen","YAR1988","NYE1990","YEM1990"
"","NorthernRhodesia","NRH1964","NRH1964",""
"","Rhodesia","RHO1972","RHO1980","RHO1980"
"","SerbiaandMontenegro","SCG2006","SCG2006","SCG2006"
"","SouthYemen","YMD1988","SYE1990","YMD1990"
"","SovietUnion","URS1988","URS1991","SUN1992"
"","UpperVolta","VOL1984","UPV1984","HVO1984"
"","Viet-Nam,DemocraticRepublicof","","VNO1975","VDR1977"
"","VietNam,Republicof","VNM1976","VSO1975","VNM1977"
"","WestGermany","FRG1988","FRG1989","DEU1989"
"","Yugoslavia,FederalRepublicof","YUG2002","YUG2003","YUG2003"
"","Yugoslavia,SocialistFederalRepublicof","YUG1992","YUG1992","YUG1992"
"","Zaire","ZAI1996","ZAI1997","ZAR1997"
