"Company","Software","On-demandscan","On-accessscan","Heuristics","CloudAV","Firewall","IDS","IPS","EmailSecurity","AntiSpam","Webprotection","Live-Update","Support","License","Price","Firstrelease","Countryoforigin","Notes"
"Avast","AvastMacSecurity","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Proprietary","Free","2012","CzechRepublic",""
"AviraOperations","AviraFreeMacSecurity","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Proprietary","Free","2011","Germany",""
"Bitdefender","BitdefenderAntivirusforMac","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Proprietary","Non-free","2011","Romania",""
"Cisco","ClamAntiVirus","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","No","GPL-2.0-only","Free","2000","UnitedStates",""
"ClarioTech","MacKeeper","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Proprietary","Non-free","2010","",""
"ComodoGroup","ComodoMacSecurity","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Proprietary","Free","2012","UnitedStates",""
"Dr.Web","Dr.WebAnti-virusforMacOSX","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Trialware","2012","Russia",""
"ESET","ESETCyberSecurity","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Proprietary","Non-free","2011","Slovakia",""
"ESET","ESETCyberSecurityPro","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Proprietary","Non-free","2013","Slovakia",""
"F-Secure","F-SecureAnti-VirusforMac","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Proprietary","Non-free","2008","Finland","Third-partyantivirusengine(Bitdefender+F-PROT)"
"GDataCyberDefense","GDATAAntiVirus","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Proprietary","Non-free","1987","Germany","Third-partyantivirusengine(GData+Bitdefender)"
"GDataCyberDefense","GDATAInternetSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Proprietary","Non-free","2004","Germany","Third-partyantivirusengine(GData+Bitdefender)"
"GDataCyberDefense","GDATATotalSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Proprietary","Non-free","2004","Germany","Third-partyantivirusengine(GData+Bitdefender)"
"Intego","VirusBarrier","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Proprietary","Non-free","1997","UnitedStates",""
"Intego","MacInternetSecurity","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Proprietary","Non-free","2000","UnitedStates",""
"KasperskyLab","KasperskyInternetSecurity","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Proprietary","Non-free","2010","Russia","BannedbyUSG"
"QuickHeal","QuickHealTotalSecurityforMac","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Proprietary","Non-free","1995","India","GoDeep.AIengine"
"Malwarebytes","[MalwarebytesforMac]","Yes","No","Unknown","Unknown","No","No","No","No","Yes","No","Yes","Unknown","Unknown","Free","2006","UnitedStates","4vulnerabilitiesfoundbyProjectZeroin2016"
"PandaSecurity","PandaAntivirusforMac","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Proprietary","Non-free","2008","Spain",""
"Sophos","SophosAnti-VirusforMac","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Proprietary","Free","2010","UnitedKingdom",""
"Symantec","SymantecEndpointProtection","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Proprietary","Non-free","2012","UnitedStates",""
"NortonLifelock(formerlySymantec)","NortonSecurityStandardforMac","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Proprietary","Non-free","2012","UnitedStates",""
"TrendMicro","TitaniumInternetSecurityforMac","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Proprietary","Non-free","2011","Japan",""
"Webroot","SecureAnywhereAntiVirus","Yes","Yes","No","No","No","No","No","No","No","Yes(onlyinAppleSafari)","Yes","Yes","Proprietary","Trialware","2012","UnitedStates",""
"Webroot","SecureAnywhereInternetSecurityPlusandComplete","Yes","Yes","No","No","No","No","No","No","No","Yes(onlyinAppleSafari)","Yes","Yes","Proprietary","Trialware","2012","UnitedStates",""
"Company","Software","On-demandscan","On-accessscan","Heuristics","CloudAV","Firewall","IDS","IPS","EmailSecurity","AntiSpam","Webprotection","Live-Update","Support","License","Price","Firstrelease","Countryoforigin","Notes"
