"OS","Version","ClaimedIPv6-ready","Installedbydefault","DHCPv6","NDRDNSS","Notes"
"AIX","4.3","Yes","Yes","Yes","No",""
"AlliedWarePlus","5.4.4","Yes","Yes","Yes","No",""
"Android","4.2(IceCreamSandwich)","Yes","Yes","No","Yes",""
"ChromeOS","67.0.3396.99","Yes","Yes","No","Yes",""
"CiscoIOS","15.3","Yes","Yes","Yes","Yes","SupportforRDNSSoptionasof15.4(1)T,15.3(2)S."
"CiscoMeraki","MRseries28.1andlater","Yes","Yes","No","Yes","DevicessupportDHCPv6forclientsbutnotforthemselves"
"CiscoMeraki","MX+MXseries","No","No","No","No","Devicescanonlycarry/passthroughIPv6onbridge,butnotroute"
"Debian","3.0(woody)","Yes","Yes","Yes","Yes","RDNSSsupportwith""rdnssd""and""resolvconf""or""openresolve""packages."
"Fedora","13","Yes","Yes","Yes","Yes",""
"FreeBSD","9.0","Yes","Yes","Addon","Yes",""
"HP-UX","11i","Yes","Yes","Yes","Yes",""
"IBMi","7.1","Yes","Yes","Yes","No",""
"iOS","4.1","Yes","Yes","Yes","Yes",""
"JuniperJUNOS","14.1","Yes","Yes","Yes","Yes","RDNSSsupportintroducedinJunOS14.1"
"LibreELEC","9.2.1","No","No","No","No","LibreELECusesconnman,whichdoesnothavefullIPv6support."
"macOS","MacOSX10.7(Lion)","Yes","Yes","Yes","Yes","Versions10.7through10.10oftenpreferIPv4evenwhenworkingIPv6connectivityisavailable.Versions10.11andupwillprioritizeIPv6TrafficinspecwithHappyEyeballs."
"MeeGo","1.2","No","Yes","No","Yes",""
"NetBSD","7.0","Yes","Yes","Yes","Yes",""
"OpenBSD","6.6","Yes","Yes","Addon","Yes","RDNSSisonlysupportedforrad(8)sofar.Asof6.6,OpenBSDstilldoesnotfavorIPv6connectivityifthereisIPv4connectivity."
"openSUSE","42.1(Leap)","Yes","Yes","Yes","Yes",""
"OpenVMS","8.3","Yes","Yes","No","No",""
"ReactOS","0.4.11","No","No","No","No","ThoughReactOSitselfhasnoIPv6support,ReactOSFoundationservicesareallIPv6enabled."
"RedHatEnterpriseLinux","6","Yes","Yes","Yes","Yes",""
"Solaris","11","Yes","Yes","Yes","Yes",""
"SUSELinuxEnterpriseServer","11","Yes","Yes","Yes","Yes",""
"Symbian","7.0","Yes","Yes","No","No","[2]"
"Ubuntu","Allsupportedversions","Yes","Yes","Yes","Yes","RDNSSsupportavailablesolongasNetworkManagerusesIPv6""Automatic""setting,otherwise""rdnssd""packagerequired."
"webOS","2.1.0","No","No","No","No",""
"WindowsNT[includesWindows10Mobile]","5.1(XP)","Yes","No","Addon","No","WindowsXPuserscanuseDibbler,anopensourceDHCPv6implementation.--update:WindowsXPfullysupportsIPv6-butNOTIPv6DNSqueries(nslookup)"
"WindowsNT[includesWindows10Mobile]","6.X(Vista,7,8,8.1),10RTM-AnniversaryUpdate","Yes","Yes","Yes","No","dnssd-win32providesanopensourceimplementationofNDRDNSS"
"WindowsNT[includesWindows10Mobile]","10CreatorsUpdateandlater","Yes","Yes","Yes","Yes","Windows10CreatorsUpdateintroducessupportforRFC8106(6106)RDNSS."
"WindowsNT[includesWindows10Mobile]","11","","Yes","","","Notyetenoughinformationofanychanges."
"WindowsMobile","6.5","Yes","Yes","Lite","No","IftheOEMexplicitlyunsetstheSYSGEN_TCPIP6pre-processorsymbol,thebuiltimagewillnothaveanyIPv6capabilities."
"WindowsPhone","7.5","No","No","No","No",""
"WindowsPhone","8(.1)","Yes","Yes","Yes","No","Privatelabresearch.Noprivacyextensions(RFC4941)."
"z/OS","V1R4.0","Yes","Yes","No","",""
"z/VM","V5R1.0","Yes","Yes","No","No",""
"z/VSE","V4R2","Addon","No","","","ViaathirdpartyTCP/IPstack,IP6/VSEfromBarnardSoftware,Inc."
