"YouTubeDownloader","Online","Windows","MacOSX","Linux","Android"
"4KDownload","No","Yes","Yes","Yes","No"
"ClipGrab","No","Yes","Yes","Yes","No"
"Airy","No","Yes","Yes","No","No"
"FreeStudio","No","Yes","Yes","No","No"
"VideoDownloadHelper","Yes","Yes","Yes","Yes","No"
"FreemakeVideoDownloader","No","Yes","No","No","No"
"NewPipe","No","No","No","No","Yes"
"youtube-dl","No","Yes","Yes","Yes","Yes"
