"Clientname","Developmentstatus","Opensourceclient","End-to-endauthentication","Encryptionprotocols","Encryptionprotocols","Encryptionprotocols","Encryptionprotocols","Forwardsecrecy","Multipleencryption","Encryptedgroupcalling","Proxy,Tor"
"Clientname","Developmentstatus","Opensourceclient","End-to-endauthentication","ZRTP","Forwardsecrecy","Multipleencryption","Encryptedgroupcalling","Proxy,Tor","ECDH","DTLS","SRTP"
"FaceTime","Active","No","No","?","?","?","?","Yes","?","No","No"
"GoogleDuo","Active","No","No","?","?","?","?","?","?","No","No"
"JamibySavoir-faireLinux","Active","Yes","Yes","No","?","Yes","Yes","Yes","?","Yes","?"
"Jitsi","Active","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","?"
"Line","Active","No","?","?","?","?","?","?","?","No","No"
"Linphone","Active","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?","No"
"PGPfone","Abandonware","Viewablesource","Yes","?","?","?","?","?","?","?","?"
"Signal","Active","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Depends"
"SilentPhone","Active","Viewablesource","Yes","Yes","?","?","Yes","Yes","Yes","Yes","No"
"Skype(opt-inperconversation,onepairofdevicesperconversation)","Active","No","Yes","No","No","No","Yes","?","?","No","No"
"Telegram","Active","Yes","Yes","No","No","No","No","Yes","?","No","No"
"Threema","Active","Partially","Yes","No","Yes","Yes","Yes","Partially","Yes","No","No"
"Viber","Active","No","?","?","?","?","?","?","?","?","No"
"WhatsApp","Active","Partially","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No"
"Wire","Active","Yes","Yes","No","?","Yes","Yes","Yes","Yes","Yes","No"
"Zfone","Abandonware","Viewablesource","Yes","Yes","Optional","?","Yes","Yes","Yes","?","?"
