"Model","Launch","Codename","Fab(nm)","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","Memory","Fillrate","Fillrate","Fillrate","Memory"
"Model","Launch","Codename","Fab(nm)","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MiB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)"
"RadeonX300","Sept.1,2004","RV370(hari)","110","325","200","4:2:4:4","1300","1300","1300","162.5","64,128","6.4","DDR","128"
"RadeonX300LE","Sept.1,2004","RV370(hari)","110","325","200","4:2:4:4","1300","1300","1300","162.5","64,128","6.4","DDR","128"
"RadeonX300SE","Sept.1,2004","RV370(hari)","110","325","200","4:2:4:4","1300","1300","1300","162.5","64,128","3.2","DDR","64"
"RadeonX300SEHyperMemory","3.2","64","April4,2005","RV370(hari)","110","325","300","4:2:4:4","1300","1300","1300","162.5","32,64,128onboard+upto128system","DDR"
"RadeonX550","June21,2005","RV370(hari)","110","400","250","4:2:4:4","1600","1600","1600","200","128,256","84","DDR","12864"
"RadeonX550HyperMemory","June21,2005","400","250","1600","1600","1600","200","128,256onboard+upto512system","84","12864","RV370(hari)","110","4:2:4:4","DDR"
"RadeonX600SE","Sept.1,2004","RV370(hari)","250","110","325","1300","4:2:4:4","1300","1300","162.5","128,256","4","64","DDR"
"RadeonX600","Sept.1,2004","400","RV370(hari)","250","110","1600","128,256","1600","4:2:4:4","1600","200","8","128","DDR"
"RadeonX600Pro(RV370)","400","1600","1600","1600","200","Sept.1,2004","128","300","RV370(hari)","110","9.6","4:2:4:4","128,256","DDR"
"RadeonX600Pro(RV380)","300","9.6","400","1600","1600","1600","200","Sept.1,2004","128","RV380(vishnu)","130","4:2:4:4","DDR","128,256"
"RadeonX600XT","RV380(vishnu)","130","Sept.1,2004","500","370","2000","2000","2000","128","128,256","4:2:4:4","250","11.84","DDR"
"RadeonX1050(RV370)","Dec.7,2006","RV370(hari)","110","400","250333","4:2:4:4","128,256","1600","1600","1600","200","5.328","DDRDDR2","64128"
