"Model","Launch","Codename","Fab(nm)","Transistors(million)Diesize(mm²)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","Memory","Fillrate","Fillrate","Fillrate","Memory"
"Model","Launch","Codename","Fab(nm)","Transistors(million)Diesize(mm²)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)"
"GeForce6100+nForce410","October20,2005","MCP51","TSMC90nm","","HyperTransport","425","100–200(DDR)200–533(DDR2)","2:1:2:1","850","425","850","106.25","Upto256systemRAM","1.6–6.4(DDR)3.2–17.056(DDR2)","DDRDDR2","64128"
"GeForce6150SE+nForce430","June2006","MCP61","TSMC90nm","","HyperTransport","425","200400","2:1:2:1","850","425","850","106.25","Upto256systemRAM","3.216.0","DDR2","64128"
"GeForce6150LE+nForce430","June2006","MCP61","","100–200(DDR)200–533(DDR2)","TSMC90nm","1.6–6.4(DDR)3.2–17.056(DDR2)","HyperTransport","425","DDRDDR2","2:1:2:1","850","425","850","106.25","Upto256systemRAM","64128"
"GeForce6150+nForce430","October20,2005","100–200(DDR)200–533(DDR2)","MCP51","DDRDDR2","TSMC90nm","","HyperTransport","475","950","2:1:2:1","475","950","118.75","1.6–6.4(DDR)3.2–17.056(DDR2)","Upto256systemRAM","64128"
"GeForce6200LE","2005","NV44","TSMC110nm","75110","AGP8xPCIex16","350","266","2:1:2:1","700","700","700","87.5","128256","4.256","DDR","64"
"GeForce6200A","April4,2005","NV44A","TSMC110nm","75110","AGP8x","350","250533(DDR2)","4:3:4:2","1400","700","1400","175225(DDR2)","128256(DDR2)512(DDR2)","413.3(DDR2)","DDRDDR2","64"
"GeForce6200","October12,2004(PCIe)January17,2005(AGP)","NV43","TSMC110nm","146154","AGP8xPCIPCIex16","300","275","4:3:4:4","1200","1200","1200","225","128256","8.8","DDR2","128"
"GeForce6200TurboCache","December15,2004","NV44","TSMC110nm","75110","PCIex16","350","350","4:3:4:2","1400","700","1400","262.5","128–256SystemRAMincl.16/32–64/128onboard","5.6","DDR","64"
"GeForce6500","October1,2005","NV44","75110","PCIex16","400","TSMC110nm","4:3:4:2","333","1600","800","1600","300","128256","DDR","64","5.328"
"GeForce6600LE","2005","NV43","TSMC110nm","146154","AGP8xPCIex16","300","200","128256","4:3:4:4","1200","1200","1200","225","6.4","DDR","128"
"GeForce6600","August12,2004","NV43","146154","AGP8xPCIex16","300","275400","TSMC110nm","8:3:8:4","1200","2400","225","2400","128","8.812.8","128256","DDRDDR2"
"GeForce6600GT","August12,2004(PCIe)November14,2004(AGP)","NV43","8:3:8:4","146154","AGP8xPCIex16","500","TSMC110nm","475(AGP)500(PCIe)","4000","2000","4000","128256","375","128","15.2(AGP)16(PCIe)","GDDR3"
"GeForce6800LE","July22,2004(AGP)January16,2005(PCIe)","NV40(AGP)NV41,NV42(PCIe)","IBM130nm","AGP8xPCIex16","222287(NV40)222225(NV41)198222(NV42)","320(AGP)325(PCIe)","350","8:4:8:8","2560(AGP)2600(PCIe)","2560(AGP)2600(PCIe)","2560(AGP)2600(PCIe)","320(AGP)325(PCIe)","128","22.4","DDR","256"
"GeForce6800XT","September30,2005","NV40(AGP)NV41,NV42(PCIe)","IBM130nm","222287(NV40)222225(NV41)198222(NV42)","300(64Bit)325","266(64Bit)350500(GDDR3)","8:4:8:8","AGP8xPCIex16","24002600","24002600","24002600","300325","256","4.25611.222.432(GDDR3)","DDRDDR2GDDR3","64128256"
"GeForce6800","April14,2004(AGP)November8,2004(PCIe)","NV40(AGP)NV41,NV42(PCIe)","IBM130nm","222287(NV40)222225(NV41)198222(NV42)","325","350","AGP8xPCIex16","12:5:12:12","3900","3900","3900","406.25","128256","22.4","DDR","256"
"GeForce6800GTO","April14,2004","NV45","IBM130nm","12:5:12:12","222287(NV45)","PCIex16","","450","4200","4200","4200","256","437.5","256","28.8","GDDR3"
"GeForce6800GS","November7,2005(PCIe)December8,2005(AGP)","NV42(PCIe)NV40(AGP)","TSMC110nm","12:5:12:12","222287(NV40)198222(NV42)","AGP8xPCIex16","425(PCIe)350(AGP)","500","5100","5100","5100","256","GDDR3","531.25","128256","32"
"GeForce6800GT","May4,2004(AGP)June28,2004(PCIe)","NV40(AGP)NV45(PCIe)","IBM130nm","222287(NV40)222287(NV45)","AGP8xPCIex16","350","500","16:6:16:16","5600","5600","5600","128256","32","525","256","GDDR3"
"GeForce6800Ultra","May4,2004(AGP)June28,2004(PCIe)March14,2005(512MB)","NV40(AGP)NV45(PCIe)","IBM130nm","222287(NV40)222287(NV45)","AGP8xPCIex16","400","16:6:16:16","525(512MB)550(256MB)","6400","6400","6400","600","256512","33.6(512MB)35.2(256MB)","256","GDDR3"
"GeForce6800UltraExtremeEdition","May4,2004","NV40","IBM130nm","222287(NV40)","AGP8x","450","16:6:16:16","600","7200","7200","7200","675","256","256","GDDR3","35.2"
"Model","Launch","Codename","Fab(nm)","Transistors(million)Diesize(mm²)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","Memory","Fillrate","Fillrate","Fillrate","Memory"
"Model","Launch","Codename","Fab(nm)","Transistors(million)Diesize(mm²)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)"
