"","Skrill","Stripe","PayPalPro","PayPalPayflowLink","PayPalPayflowPro","SagePayForm","SagePayDirect","USAePay","WorldPay","Offlineprocessing","Offlinemethods"
"ApacheOFBiz","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"Batavi","No","No","No","No","No","No","No","No","No","Yes","Yes"
"BigCommerce","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DrupalCommerce","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"KonaKart","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes"
"Magento","Yes","Yes","Yes","Yes","Yes","Yes","Yes","3rdparty","Yes","Yes","Yes"
"nopCommerce","Yes","Yes","Yes","Yes","Yes","Yes","Yes","3rdparty","Yes","Yes","Yes"
"osCommerce","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Yes"
"pimcore","No","No","No","No","No","No","No","No","No","No","No"
"PrestaShop","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes"
"Shopify","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"WooCommerce","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"ZenCart","Yes","Yes","Yes","No","add-on","No","Yes","Yes","Yes","add-on","Yes"
"","Skrill","Stripe","PayPalPro","PayPalPayflowLink","PayPalPayflowPro","SagePayForm","SagePayDirect","USAePay","WorldPay","Offlineprocessing","Offlinemethods"
