"CodeName(ConsoleModel)","Launch","GPUCodeNameand/orArchitecture","Fab(nm)","Transistors(million)","Coreconfig,,","Coreclock(MHz)","Fillrate","Ray-tracingPerformance","MLPerformance","Memory","Memory","APIcompliance(version)","APIcompliance(version)","Memory","Memory","Fillrate","Fillrate","Fillrate","Ray-tracingPerformance","MLPerformance","Memory","Businterface","APIcompliance(version)","Processingpower(GFLOPS)","Architecturefeatures"
"CodeName(ConsoleModel)","Launch","GPUCodeNameand/orArchitecture","Fab(nm)","Transistors(million)","Coreconfig,,","Coreclock(MHz)","MOperations/s","MPixels/s","MTexels/s","MTri/s","Businterface","GRays/s(triangles)","Processingpower(GFLOPS)","Architecturefeatures","GRays/s(voxelsorboxes)","TOPS(INT8)","TOPS(INT4)","Size(MiB)","Clock(MHz)","RAMtype","Buswidth(bit)","Bandwidth(GB/s)","Direct3D","OpenGL","other"
"ProjectDolphin(GameCube)","September14,2001","Flipper","NEC180nm","51(GPU+eDRAM)","4:1:4:4","162","7,500","648","648","60","-","-","-","-","24internal16shared3eDRAM","32481162","1T-SRAMSDRAMeDRAM","648384/512","3.21.67.8/10.4","Integrated","No","Unknown","GX","7.5","Fixed-functionT&L,TEVregistercombiner"
"Xenon(Xbox360)","November22,2005","XenosGPUTeraScale(HD2000/3000based)","TSMC90nm65nm45nm","232(GPU)105(eDRAM)","240:16:8eDRAM(192parallelpixelprocessors)","500","240,000","4000eDRAM(16000with4xMSAA)","8000","500","-","-","-","-","512(shared)10eDRAM","700500","GDDR3eDRAM","128","22.432(GPUtodaughterdie)256(DaughterdieROPtoeDRAM)","Integrated","9.0c+","No","Unknown","240","Surfacetessellation"
"Revolution(Wii)","November19,2006","Hollywood","NEC90nm","107(GPU+eDRAM)","4:1:4:4","243","11,250","972","972","70","-","-","-","-","24internal64shared3eDRAM","486486243","1T-SRAMGDDR3eDRAM","6464384/512","3.883.8811.2/15.6","Integrated","No","Unknown","GX","11.25","Fixed-functionT&L,TEVregistercombiner"
"ProjectCafé(WiiU)","November18,2012","LatteGPUTeraScale(HD4000based)","Renesas45nm","880GPU+eDRAM","160:16:8","550","176,000","4400","8800","550","-","-","-","-","2048(shared)32eDRAM,1024-bitwide","800(1600effective)550","DDR3eDRAM","641024","12.870.4","Integrated","No","Unknown","GX2","176","Fixed-functionT&L,TEVregistercombiner"
"Durango(XboxOne)","November22,2013","GCN1","TSMC28nm(OneS)16nm","4,800GPU+eSRAMGPUprobably~2,000","768:48:16","853,(OneS)914","1,310,208,(OneS)1,403,904","13,648,(OneS)14,624","40,944,(OneS)43,872","1300","-","-","-","-","8192(shared)32eSRAM","1066.5(2133effective)1706(3412effective)","DDR3eSRAM","","68.3218,219(OneS)","Integrated","11.212","No","Mantletechnicallypossible","1310.2,(OneS)1403.9","Tiledresources,(OneS)Upscaled4KHDRsupport"
"Liverpool(PlayStation4)","November15,2013","GCN1","TSMC28nm16nm","probably~2,800","1152:72:32","800","1,843,200","25,600","57,600","1707","-","-","-","-","8192(shared)","1375(5500effective)","GDDR5","256","176","No","Integrated","4.2","GNM,GNMX,PlayStationShaderLanguage,Mantletechnicallypossible","1843.2","HDRpossible(only2K)"
"Neo(PlayStation4Pro)","November10,2016","GCN4","TSMC16nm","5,700","2304:144:32","911","4,197,888","29,152","131,200","3078","-","-","-","8192(shared)","-","GDDR5","256","1700(6800effective)","217.6","No","GNM,GNMX,PlayStationShaderLanguage,Mantletechnicallypossible","4.2(4.5)","4197.8","Integrated","4KHDRpossible,fullycompatiblePS4modewithreducedpowerconsumption"
"ScorpioEngine(XboxOneX)","November7,2017","GCN4","TSMC16nm","6,600","2560:160:40","1172","6,000,640","46,880","187,520","4400","-","-","-","-","1700(6800effective)","12288(shared)","384","326.4","GDDR5","11.212","No","Unknown","6000.6","Integrated","4KHDRsupport,supersampling"
"Lockhart(XboxSeriesS)","November10,2020","RDNA2","TSMC7nm","5,900","1280:80:32:20","1565","FP32:4,006,400FP16:8,012,800","50,080","125,200","2400","31.3","125.2","16","32","8,192(GPU)+2,048(shared)","1750(14000effective)","GDDR6","128","224(GPU)+56(Standard)","Integrated","12U","No","?","FP32:4006FP16:8013","DirectXraytracing,FidelityFXSuperResolution(FSR),DirectML,4KHDRsupport,variablerefreshrate,120Hzsupport"
"Scarlett(XboxSeriesX)","November10,2020","RDNA2","TSMC7nm","15,300","3328:208:80:52","1825","FP32:12,147,200FP16:24,294,400","146,000","379,600","7300","94.9","379.6","48.5","97","10,240(GPU)+6,124(shared)","1750(14000effective)","GDDR6","320","560(GPU)+336(Standard)","12U","No","?","FP32:12147.2FP16:24294.4","DirectXraytracing,FidelityFXSuperResolution(FSR),DirectML,8KHDRsupport,variablerefreshrate,120Hzsupport","Integrated"
"Oberon(PlayStation5)","November12,2020","RDNA2","TSMC7nm","probably10,600","2304:144:64:36","~2000/~2233(Boost)","FP32:9.216.000/~10,289,664(Boost)FP16:18.432.000/20,579,328(Boost)","128,000/142,912(Boost)","288,000/321,552(Boost)","5732/6400(Boost)","72/80.4(Boost)","288/321.5(Boost)","-","-","16,384(shared)","1750(14000effective)","GDDR6","256","448","No","4.6","?","FP32:9216/10289.6(Boost)FP16:18432/20579.2(Boost)","Integrated","8KHDRsupport,120Hzsupport,FidelityFXSuperResolution(FSR),raytracing"
"Aerith(SteamDeck)","February,2022","RDNA2","TSMC7nm","probably~2,400","512:32:16:8","~1000/~1600(Boost)","FP32:~1.024.000/~1,638,400(Boost)FP16:~2,048,000/~3,276,800(Boost)","16,000/25,600(Boost)","32,000/51,200(Boost)","644/1020(Boost)","8/12.8(Boost)","36/51.2(Boost)","-","-","16,384(shared)","2250(5500effective)","LPDDR5","128","88","No","4.6","Integrated","Vulkan1.2","FP32:1024/1638.4(Boost)FP16:2048/3276.8(Boost)","raytracing,FidelityFXSuperResolution(FSR),8kresolutionat60Hzor4kresolutionat120Hz(dockmode)"
