"Model","CharterSpectrum","VerizonFiOS","ComcastXfinity","WatchABC","PBS","FoxNow","A&E","Bloomberg","DisneyChannel","FXNow","HistoryChannel","Lifetime","MTV","SyFy","WatchESPN","EncorePlay","EPIX","HBOGO","HBOMax","ShowtimeAnytime","StarzPlay"
"AmazonFireTV","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes(wasunavailableuntilNov.17,2020)","Yes","Yes"
"AppleTV","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"GoogleChromecast","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MicrosoftXbox","Yes","No","No","Xbox360only","Yes","Yes","Yes","No","Xbox360only","XboxOneonly,Xbox360upcoming","Yes","Yes","Yes","Yes","XboxOneonly","Yes","Yes","Yes","Yes","Yes","Yes"
"Roku","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes(wasunavailableuntilDec.2020)","Yes","Yes"
"SonyPlayStation","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No"
