"","Java","C#"
"Definition","InJava,theenumerationtypeisaclass,anditsvaluesareobjects(instances)ofthatclass.Theonlyvalidvaluesaretheoneslistedintheenumeration.Theenumerationtypemaydeclarefields,allowingeachindividualenumeratedvaluetoreferenceadditionaldataassociateduniquelywiththatspecificvalue.Theenumerationtypemayalsodeclareoroverridemethods,orimplementinterfaces.","EnumerationsinC#areimplicitlyderivedfromtheEnumtypethatagainisavaluetypederivative.ThevaluesetofaC#enumerationisdefinedbytheunderlyingtypethatcanbeasignedorunsignedintegertypeof8,16,32or64bits.Theenumerationdefinitiondefinesnamesfortheselectedintegervalues.Bydefaultthefirstnameisassignedthevalue0(zero)andthefollowingnamesareassignedinincrementsof1.Anyvalueoftheunderlyingprimitivetypeisavalidvalueoftheenumerationtype,thoughanexplicitcastmaybeneededtoassignit."
"Combining","Javaenumerationsetandmapcollectionsprovidefunctionalitytocombinemultipleenumerationvaluestoacombinedvalue.Thesespecialcollectionsallowscompileroptimizationtominimizetheoverheadincurredbyusingcollectionsasthecombinationmechanism.","C#supportsbit-mappedenumerationswhereanactualvaluemaybeacombinationofenumeratedvaluesbitwiseor'edtogether.Theformattingandparsingmethodsimplicitlydefinedbythetypewillattempttousethesevalues."
