"Client","Developer","Initialrelease","Platform","Latestrelease","Latestrelease","License","Monthlyactiveusers"
"Client","Developer","Initialrelease","Platform","Version","License","Monthlyactiveusers","Date"
"Paltalk","AVMSoftware,Inc","June1998;23yearsago(1998-06)","","","","Proprietaryfreeware",""
"Pidgin","MarkSpencer","November1998;23yearsago(1998-11)","BSD","2.14.8","2021-10-14","GPL-2.0-or-later",""
"Pidgin","MarkSpencer","November1998;23yearsago(1998-11)","Linux","2.14.8","2021-10-14","GPL-2.0-or-later",""
"Pidgin","MarkSpencer","November1998;23yearsago(1998-11)","macOS","2.14.8","2021-10-14","GPL-2.0-or-later",""
"Pidgin","MarkSpencer","November1998;23yearsago(1998-11)","Windows","2.14.8","2021-10-14","GPL-2.0-or-later",""
"Psi","PsiandPsi+developers","2001;21yearsago(2001)","Linux","1.5","2020-09-06","GPL-2.0-or-later",""
"Psi","PsiandPsi+developers","2001;21yearsago(2001)","macOS","1.5","2020-09-06","GPL-2.0-or-later",""
"Psi","PsiandPsi+developers","2001;21yearsago(2001)","Windows","1.5","2020-09-06","GPL-2.0-or-later",""
"RetroShare","CyrilSoler,GioacchinoMazzurco","2006;16yearsago(2006)","","0.6.6","2021-03-13","GPL",""
"Ricochet","Invisible.im","June2014;7yearsago(2014-06)","FreeBSD","1.1.4","2016-11-07","BSD-3-Clause",""
"Ricochet","Invisible.im","June2014;7yearsago(2014-06)","Linux","1.1.4","2016-11-07","BSD-3-Clause",""
"Ricochet","Invisible.im","June2014;7yearsago(2014-06)","macOS","1.1.4","2016-11-07","BSD-3-Clause",""
"Ricochet","Invisible.im","June2014;7yearsago(2014-06)","Windows","1.1.4","2016-11-07","BSD-3-Clause",""
"Sicher","SHAPEGmbH","June2014;7yearsago(2014-06)","","","","Proprietaryfreeware",""
"Signal","SignalFoundation","July2014;7yearsago(2014-07)","Android","5.28.10","2022-01-06","GPL-3.0-only","40million(2021)"
"Signal","SignalFoundation","July2014;7yearsago(2014-07)","iOS","5.31","2022-03-07","GPL-3.0-only","40million(2021)"
"Signal","SignalFoundation","July2014;7yearsago(2014-07)","Desktop","5.35.0","2022-03-09","AGPL-3.0-only","40million(2021)"
"SilentPhone","SilentCircle","January16,2013;9yearsago(2013-01-16)","","","","Proprietarycommercial",""
"Skype","SkypeTechnologies,asubsidiaryofMicrosoftCorporation","2003;19yearsago(2003)","","","","Proprietaryadwarefreemium","300million(2018)"
"Slack","SlackTechnologies","August2013;8yearsago(2013-08)","","","","Proprietaryfreemium",""
"Snapchat","SnapInc.","November2011;10yearsago(2011-11)","Android","11.43.0.37","2021-08-31","Proprietaryfreeware","294million(2019)"
"Snapchat","SnapInc.","November2011;10yearsago(2011-11)","iOS","11.43.0.23","2021-08-30","Proprietaryfreeware","294million(2019)"
"SteamChat","Valve","","Android,iOS,Desktop,Web","","","",""
"Surespot","SurespotLLC","2013;9yearsago(2013)","Android","v81","2019-04-27","GPL-3.0-or-later",""
"Surespot","SurespotLLC","2013;9yearsago(2013)","iOS","v21","2018-11-14","GPL-3.0-or-later",""
"TeamNote","TeamNoteLimited","2012;10yearsago(2012)","","","","Subscription",""
"Telegram","TelegramMessengerLLP","2013;9yearsago(2013)","Android","7.9.3","2021-08-07","GPL-2.0-or-later","500million(2021)"
"Telegram","TelegramMessengerLLP","2013;9yearsago(2013)","iOS","7.9.2","2021-08-06","GPL-2.0-or-later","500million(2021)"
"Telegram","TelegramMessengerLLP","2013;9yearsago(2013)","Desktop","2.9.3","2021-08-11","GPL-3.0-or-later","500million(2021)"
"TencentQQ","TencentHoldings","February1999;23yearsago(1999-02)","","","","Proprietaryadware","823million(2019)"
"Threema","ThreemaGmbH","December2012;9yearsago(2012-12)","Android","4.66","2022-03-03","AGPL-3.0-only",""
"Threema","ThreemaGmbH","December2012;9yearsago(2012-12)","iOS","4.6.15","2022-01-18","AGPL-3.0-only",""
"Threema","ThreemaGmbH","December2012;9yearsago(2012-12)","Web","","","AGPL-3.0-or-later",""
"Trillian","CeruleanStudios","July1,2000;21yearsago(2000-07-01)","Android","6.4.0.20","2021-04-28","Proprietaryadwarefreemium",""
"Trillian","CeruleanStudios","July1,2000;21yearsago(2000-07-01)","iOS","6.4.20","2021-01-06","Proprietaryadwarefreemium",""
"Trillian","CeruleanStudios","July1,2000;21yearsago(2000-07-01)","Linux","6.3.0.1","2020-05-27","Proprietaryadwarefreemium",""
"Trillian","CeruleanStudios","July1,2000;21yearsago(2000-07-01)","macOS","6.4.0.3","2020-12-16","Proprietaryadwarefreemium",""
"Trillian","CeruleanStudios","July1,2000;21yearsago(2000-07-01)","Windows","6.5.0.17","2021-08-10","Proprietaryadwarefreemium",""
"Trillian","CeruleanStudios","July1,2000;21yearsago(2000-07-01)","Web","6.4.6","2020-12-10","Proprietaryadwarefreemium",""
"Viber","RakutenViber","December2,2010;11yearsago(2010-12-02)","Android","15.9.0.5","2021-08-20","Proprietaryfreemium","260million(2019)"
"Viber","RakutenViber","December2,2010;11yearsago(2010-12-02)","iOS","15.9.0","2021-08-19","Proprietaryfreemium","260million(2019)"
"Viber","RakutenViber","December2,2010;11yearsago(2010-12-02)","Linux","13.3.1.22","2021-07-07","Proprietaryfreemium","260million(2019)"
"Viber","RakutenViber","December2,2010;11yearsago(2010-12-02)","macOS","15.9.0","2021-08-17","Proprietaryfreemium","260million(2019)"
"Viber","RakutenViber","December2,2010;11yearsago(2010-12-02)","Windows","15.9.0.1","2021-08-17","Proprietaryfreemium","260million(2019)"
"WeChat","TencentHoldingsLimited","January21,2011;11yearsago(2011-01-21)","","","","Proprietaryfreeware","1112million(2019)"
"WhatsApp","MetaPlatforms","January2009;13yearsago(2009-01)","Android","2.21.24.22","2021-12-10","Proprietaryfreeware","2000million(2020)"
"WhatsApp","MetaPlatforms","January2009;13yearsago(2009-01)","iOS","2.21.243","2021-12-16","Proprietaryfreeware","2000million(2020)"
"WhatsApp","MetaPlatforms","January2009;13yearsago(2009-01)","macOS","2.2147.16","2021-12-16","Proprietaryfreeware","2000million(2020)"
"WhatsApp","MetaPlatforms","January2009;13yearsago(2009-01)","Windows","2.2147.16.0","2021-12-20","Proprietaryfreeware","2000million(2020)"
"WickrMe","WickrInc.","June2012;9yearsago(2012-06)","Android","5.85.4","2021-08-12","Proprietary",""
"WickrMe","WickrInc.","June2012;9yearsago(2012-06)","iOS","5.85.5","2021-08-17","Proprietary",""
"WickrMe","WickrInc.","June2012;9yearsago(2012-06)","Desktop","5.85.9","2021-08-05","Proprietary",""
"Wire","WireSwissGmbH","December3,2014;7yearsago(2014-12-03)","Android","3.72.1014","2021-09-04","GPL-3.0-or-later",""
"Wire","WireSwissGmbH","December3,2014;7yearsago(2014-12-03)","iOS","3.87","2021-08-19","GPL-3.0-or-later",""
"Wire","WireSwissGmbH","December3,2014;7yearsago(2014-12-03)","Linux","3.26.2941","2021-06-28","GPL-3.0-or-later",""
"Wire","WireSwissGmbH","December3,2014;7yearsago(2014-12-03)","macOS","3.26.4145","2021-06-28","GPL-3.0-or-later",""
"Wire","WireSwissGmbH","December3,2014;7yearsago(2014-12-03)","Windows","3.26.4124","2021-06-28","GPL-3.0-or-later",""
"Wire","WireSwissGmbH","December3,2014;7yearsago(2014-12-03)","Web","2021-09-13-production.0","2021-09-13","GPL-3.0-or-later",""
"Client","Developer","Initialrelease","Platform","Latestrelease","Latestrelease","License","Monthlyactiveusers"
"Client","Developer","Initialrelease","Platform","Version","License","Monthlyactiveusers","Date"
