"Digitalaudioeditor","Creator/developer","Softwarelicense","MicrosoftWindows","MacOS","iOS","Linux","BSD","Online","Networkstorage","Externalhardware"
"Acoustica","AconDigital","Proprietary","Yes","Yes","No","No","No","No","Unknown","Unknown"
"Audacity","AudacityTeam","GNUGPL","Yes","Yes","Yes","Yes","Yes","No","NFS",""
"Audiotool","Hobnox","Proprietary","Yes","Yes","Notofficiallysupported","Yes","No","Yes","NFS","OptionalMIDIsupport"
"BIASPeak","BIAS","Proprietary","No","Yes","No","No","No","No","",""
"DiamondCutART","DiamondCutProductions","Proprietary","Yes","No","No","No","No","No","Unknown","Unknown"
"Ecasound","KaiVehmanen","GNUGPL","No","Yes","No","Yes","Yes","No","Unknown","Unknown"
"Goldwave","GoldwaveInc.","ProprietaryShareware","Yes","No","No","No","No","No","",""
"Jokosher","Jokosher","GNUGPL","Yes","No","No","Yes","No","No","NFS",""
"NU-Tech","LeaffEngineering","Proprietary","Yes","No","No","No","No","No","",""
"RiffWorks","SonomaWireWorks","Proprietary","Yes","Yes","No","No","No","No","",""
"SoundForge","Magix","Proprietary","Yes","Yes","No","No","No","No","",""
"Soundbooth","AdobeSystems","Proprietary","Yes","Yes","No","No","No","No","",""
"SoX","ChrisBagwell,etal.","GNUGPL","Yes","Yes","No","Yes","Yes","No","",""
"SpectraLayers","Sony","Proprietary","Yes","Yes","No","No","No","No","",""
"Sweep","ConradParker","GNUGPL","No","No","No","Yes","Yes","No","",""
"TotalRecorder","HighCriteria","ProprietaryShareware","Yes","No","No","No","No","No","",""
"TraversoDAW","Traverso","GNUGPL","Yes","Yes","No","Yes","No","No","NFS",""
"WaveLab","Steinberg","Proprietary","Yes","Yes","No","No","No","No","","Externalgear,MIDI"
"WavePad","NCHSoftware","Proprietary/Freemium","Yes","Yes","Yes","No","No","No","",""
"WaveSurfer","CentreforSpeechTechnologyatKTH","BSD-like","Yes","Yes","No","Yes","Yes","No","",""
"Digitalaudioeditor","Creator/developer","Softwarelicense","MicrosoftWindows","MacOS","iOS","Linux","BSD","Online","Networkstorage","Externalhardware"
