"","MSHTML","Gecko","WebKit","KHTML","Presto"
"Phrase","Phrase","Phrase","Phrase","Phrase","Phrase"
"em","<3.1","1.0","Yes","Yes","1.0"
"strong","<3.1","1.0","Yes","Yes","1.0"
"dfn","<3.1","1.0","Yes","Yes","1.0"
"code","<3.1","1.0","Yes","Yes","1.0"
"samp","<3.1","1.0","Yes","Yes","1.0"
"kbd","<3.1","1.0","Yes","Yes","1.0"
"var","<3.1","1.0","Yes","Yes","1.0"
"cite","<3.1","1.0","Yes","Yes","1.0"
"acronym","<3.1","1.0","Yes","Yes","1.0"
"abbr.","3.1","1.0","Yes","Yes","1.0"
"Quotations","Quotations","Quotations","Quotations","Quotations","Quotations"
"blockquote","<3.1","1.0","Yes","Yes","1.0"
"q","4.0","1.8","Yes","Yes","1.0"
"Subscriptsandsuperscripts","Subscriptsandsuperscripts","Subscriptsandsuperscripts","Subscriptsandsuperscripts","Subscriptsandsuperscripts","Subscriptsandsuperscripts"
"sub","<3.1","1.0","Yes","Yes","1.0"
"sup","<3.1","1.0","Yes","Yes","1.0"
"Linesandparagraphs","Linesandparagraphs","Linesandparagraphs","Linesandparagraphs","Linesandparagraphs","Linesandparagraphs"
"p","<3.1","1.0","Yes","Yes","1.0"
"pre","<3.1","1.0","Yes","Yes","1.0"
"br","<3.1","1.0","Yes","Yes","1.0"
"Markingdocumentchanges","Markingdocumentchanges","Markingdocumentchanges","Markingdocumentchanges","Markingdocumentchanges","Markingdocumentchanges"
"ins","<3.1","1.0","Yes","Yes","1.0"
"del","<3.1","1.0","Yes","Yes","1.0"
