"Model","Systemonachip","Memory","Storage","Graphics","Displayresolution","MSRP"
"MacBookAir","3.2GHzAppleM1chipwith8-coreCPUand7-coreGPU","8GBunified","256GBflash","M17-coreGPU","2560x1600RetinaDisplaywithP3widecolorgamutandTrueTone","$999(USD)/$1299(CAD)/£999(GBP)/€1129(EUR)/$1599(AUD)"
"MacBookPro13""","3.2GHzAppleM1chipwith8-coreCPUand8-coreGPU","8GBunified","256GBflash","M18-coreGPU","2560x1600RetinaDisplaywithP3widecolorgamutandTrueTone","$1299(USD)/$1699(CAD)/£1299(GBP)/€1449(EUR)/$1999(AUD)"
"MacBookPro14""","3.2GHzAppleM1Prochipwith8-coreCPUand14-coreGPU","16GBunified","512GBflash","M1Pro14-coreGPU","3024x1964RetinaDisplaywithP3widecolorgamut,TrueToneandProMotion","$1999(USD)/$2499(CAD)/£1899(GBP)/€2249(EUR)/$2999(AUD)"
"MacBookPro16""","3.2GHzAppleM1Prochipwith10-coreCPUand16-coreGPU","16GBunified","512GBflash","M1Pro16-coreGPU","3456x2234RetinaDisplaywithP3widecolorgamut,TrueToneandProMotion","$2499(USD)/$3149(CAD)/£2399(GBP)/€2749(EUR)/$3749(AUD)"
