"Filesystem","Maximumfilenamelength","Allowablecharactersindirectoryentries","Maximumpathnamelength","Maximumfilesize","Maximumvolumesize","Maxnumberoffiles"
"BeeGFS","255bytes","AnybyteexceptNUL","Nolimitdefined","16EB","16EB","?"
"CP/Mfilesystem","8.3","ASCIIexceptfor<>.,;:=?*[]","Nodirectoryhierarchy(butaccessibilityoffilesdependsonuserareasviaUSERcommandsinceCP/M2.2)","32MB","512MB","?"
"IBMSFS","8.8","?","?","Non-hierarchical","?","?"
"DECtape","6.3","A–Z,0–9","DTxN:FILNAM.EXT=15","369,280bytes(577*640)","369,920bytes(578*640)","?"
"ElektronikaBKtapeformat","16bytes","?","Nodirectoryhierarchy","64KB","Notlimited.Approx.800KB(oneside)for90mincassette","?"
"MicroDOSfilesystem","14bytes","?","?","16MB","32MB","?"
"Level-D","6.3","A–Z,0–9","DEVICE:FILNAM.EXT[PROJCT,PROGRM]=7+10+15=32;+5*7forSFDs=67","34,359,738,368words(2**35-1);206,158,430,208SIXBITbytes","Approx12GB(64*178MB)","?"
"RT-11","6.3","A–Z,0–9,$","0(nodirectoryhierarchy)","33,554,432bytes(65536*512)","33,554,432bytes","?"
"Version6Unixfilesystem(V6FS)","14bytes","AnybyteexceptNULand/","Nolimitdefined","16MB","32MB","?"
"DiskOperatingSystem(GECDOS)","?","?","?","?atleast131,072bytes","?","?"
"GECDOSfilingsystemextended","8bytes","A–Z,0–9.Periodwasdirectoryseparator","?Nolimitdefined(workaroundforOSlimit)","?atleast131,072bytes","?","?"
"CBMDOS","16bytes","AnybyteexceptNUL","0(nodirectoryhierarchy)","16MB","16MB","?"
"Version7Unixfilesystem(V7FS)","14bytes","AnybyteexceptNULor/","Nolimitdefined","1GB","2TB","?"
"exFAT","255UTF-16characters","?","32,760Unicodecharacterswitheachpathcomponentnomorethan255characters","16EB","64ZB(2bytes)","?"
"FAT(8-bit)","6.3(binaryfiles)/9characters(ASCIIfiles)","ASCII(0x00and0xFFnotallowedinfirstcharacter)","Nodirectoryhierarchy","?","?","?"
"FAT12/FAT16","8.3(255UCS-2characterswithLFN)","SFN:OEMA-Z,0-9,!#$%&'()-@^_`{}~,0x80-0xFF,0x20.LFN:UnicodeexceptNUL,""*/:<>?\|","Nolimitdefined","32MB(4GB)","1MBto32MB","?"
"FAT16B/FAT16X","8.3(255UCS-2characterswithLFN)","SFN:OEMA-Z,0-9,!#$%&'()-@^_`{}~,0x80-0xFF,0x20.LFN:UnicodeexceptNUL,""*/:<>?\|","Nolimitdefined","2(4)GB","16MBto2(4)GB","?"
"FAT32/FAT32X","8.3(255UCS-2characterswithLFN)","SFN:OEMA-Z,0-9,!#$%&'()-@^_`{}~,0x80-0xFF,0x20.LFN:UnicodeexceptNUL,""*/:<>?\|","32,760Unicodecharacterswitheachpathcomponentnomorethan255characters","4GB","512MBto16TB","?"
"FATX","42bytes","ASCII.Unicodenotpermitted.","Nolimitdefined","2GB","16MBto2GB","?"
"Fossil","?","?","?","?","?","?"
"GEMDOS","8.3","A-Z,a-z,0-9!@#$%^&()+-=~`;'"",<>|[]()_","?","?","?","?"
"APFS","255UTF-8characters","Unicode9.0encodedinUTF-8","?","8EB","?","2"
"F2FS","255bytes","AnybyteexceptNUL,/","Nolimitdefined","3.94TB","16TB","?"
"MFS","255bytes","Anybyteexcept:","Nopath(flatfilesystem)","256MB","256MB","?"
"HFS","31bytes","Anybyteexcept:","Unlimited","2GB","2TB","?"
"HPFS","255bytes","AnybyteexceptNUL","Nolimitdefined","2GB","2TB","?"
"NTFS","255characters","InWin32namespace:anyUTF-16codeunit(case-insensitive)except/\:*""?<>|aswellasNULInPOSIXnamespace:anyUTF-16codeunit(case-sensitive)except/aswellasNUL","32,767Unicodecharacterswitheachpathcomponent(directoryorfilename)upto255characterslong","16EB","16EB","2"
"ReFS","255UTF-16characters","InWin32namespace:anyUTF-16codeunit(case-insensitive)except/\:*""?<>|aswellasNULInPOSIXnamespace:anyUTF-16codeunit(case-sensitive)except/aswellasNUL","32,767Unicodecharacterswitheachpathcomponent(directoryorfilename)upto255characterslong","16EB","1YB","?"
"HFSPlus","255UTF-16characters","AnyvalidUnicode","Unlimited","slightlylessthan8EB","slightlylessthan8EB","?"
"FFS","255bytes","AnybyteexceptNUL","Nolimitdefined","4GB","256TB","?"
"HAMMER","255bytes","AnybyteexceptNUL","?","?","1EB","?"
"UFS1","255bytes","AnybyteexceptNUL","Nolimitdefined","16GBto256TB","16EB","Subdirectoryperdirectoryis32,767"
"UFS2","255bytes","AnybyteexceptNUL","Nolimitdefined","512GBto32PB","512ZB(2bytes)","Subdirectoryperdirectoryis32,767"
"ext","255bytes","AnybyteexceptNUL","Nolimitdefined","2GB","2GB","?"
"Xiafs","248bytes","AnybyteexceptNUL","Nolimitdefined","64MB","2GB","?"
"ext2","255bytes","AnybyteexceptNUL,/","Nolimitdefined","16GBto2TB","2TBto32TB","?"
"ext3","255bytes","AnybyteexceptNUL,/","Nolimitdefined","16GBto2TB","2TBto32TB","?"
"ext4","255bytes","AnybyteexceptNUL,/","Nolimitdefined","16GBto16TB","1EB","2(staticinodelimitspecifiedatcreation)"
"NOVA","255bytes","AnybyteexceptNUL,/","Nolimitdefined","16EB","16EB","?"
"Lustre","255bytes","AnybyteexceptNUL","Nolimitdefined","16EBonZFS","16EB","?"
"GPFS","255UTF-8codepoints","AnybyteexceptNUL","Nolimitdefined","Nolimitfound","2bytes(2PBtested)","?"
"GFS","255bytes","AnybyteexceptNUL","Nolimitdefined","2TBto8EB","2TBto8EB","?"
"NILFS","255bytes","AnybyteexceptNUL","Nolimitdefined","8EB","8EB","?"
"ReiserFS","4,032bytes/255characters","AnybyteexceptNULor'/'","Nolimitdefined","8TB(v3.6),4GB(v3.5)","16TB","?"
"Reiser4","3,976bytes","Anybyteexcept/andNUL","Nolimitdefined","8TBonx86","?","?"
"OCFS","255bytes","AnybyteexceptNUL","Nolimitdefined","8TB","8TB","?"
"OCFS2","255bytes","AnybyteexceptNUL","Nolimitdefined","4PB","4PB","?"
"XFS","255bytes","AnybyteexceptNUL","Nolimitdefined","8EB","8EB","?"
"JFS1","255bytes","AnybyteexceptNUL","Nolimitdefined","8EB","512TBto4PB","?"
"JFS","255bytes","AnyUnicodeexceptNUL","Nolimitdefined","4PB","32PB","?"
"QFS","255bytes","AnybyteexceptNUL","Nolimitdefined","16EB","4PB","?"
"BFS","255bytes","AnybyteexceptNUL","Nolimitdefined","12,288bytesto260GB","256PBto2EB","Unlimited"
"AdvFS","255characters","AnybyteexceptNUL","Nolimitdefined","16TB","16TB","?"
"NSS","256characters","Dependsonnamespaceused","Onlylimitedbyclient","8TB","8TB","?"
"NWFS","80bytes","Dependsonnamespaceused","Nolimitdefined","4GB","1TB","?"
"ODS-5","236bytes","?","4,096bytes","1TB","1TB","?"
"VxFS","255bytes","AnybyteexceptNUL","Nolimitdefined","16EB","?","?"
"UDF","255bytes","AnyUnicodeexceptNUL","1,023bytes","16EB","512MBto16TB","?"
"ZFS","255bytes","AnyUnicodeexceptNUL","Nolimitdefined","16EB","256x2^50ZB(2bytes)","2"
"Btrfs","255bytes","Anybyteexcept'/'andNUL","Nolimitdefined","16EB","16EB","2"
"MinixV1FS","14or30bytes,setatfilesystemcreationtime","AnybyteexceptNUL","Nolimitdefined","256.5MB","64MB","?"
"MinixV2FS","14or30bytes,setatfilesystemcreationtime","AnybyteexceptNUL","Nolimitdefined","2GB","1GB","?"
"MinixV3FS","60bytes","AnybyteexceptNUL","Nolimitdefined","2GB","4GB","?"
"VMFS2","128","AnybyteexceptNULor/","2,048","4TB","64TB","?"
"VMFS3","128","AnybyteexceptNULor/","2,048","2TB","64TB","?"
"ISO9660:1988","Level1:8.3,Level2&3:~180","DependsonLevel","~180bytes?","4GB(Level1&2)to8TB(Level3)","8TB","?"
"Joliet(""CDFS"")","64Unicodecharacters","AllUCS-2codeexcept*,/,\,:,;,and?","?","sameasISO9660:1988","sameasISO9660:1988","?"
"RockRidge","255bytes","AnybyteexceptNULor/","Nolimitdefined","sameasISO9660:1988","sameasISO9660:1988","?"
"UniFS","Nolimitdefined(dependsonclient)","?","Nolimitdefined(dependsonclient)","Availablecachespaceattimeofwrite(dependsonplatform)","Nolimitdefined","Nolimitdefined"
"ISO9660:1999","?","?","?","?","?","?"
"HighSierraFormat","?","?","?","?","?","?"
"SquashFS","256bytes","?","Nolimitdefined","16EB","16EB","?"
"BlueStore/Cephfs","?","anybyte,exceptnull,""/""","Nolimitdefined","Max.2bytes,1TBbydefault","Notlimited","Notlimited,defaultis100,000filesperdirectory"
"Filesystem","Maximumfilenamelength","Allowablecharactersindirectoryentries","Maximumpathnamelength","Maximumfilesize","Maximumvolumesize","Maxnumberoffiles"
