"","","MSHTML","Tasman","Gecko","WebKit","KHTML","Presto"
"InterfaceCSSStyleSheet","InterfaceCSSStyleSheet","InterfaceCSSStyleSheet","InterfaceCSSStyleSheet","InterfaceCSSStyleSheet","InterfaceCSSStyleSheet","InterfaceCSSStyleSheet","InterfaceCSSStyleSheet"
"DOM2","ownerRule","No","?","1.0","?","?","2.0"
"DOM2","cssRules","No","Yes","1.0","1.3","?","2.0"
"DOM2","insertRule()","No","No","1.0","No","?","2.0"
"DOM2","No","No","deleteRule()","No","?","1.0","2.0"
"InterfaceStyleSheetList","InterfaceStyleSheetList","InterfaceStyleSheetList","InterfaceStyleSheetList","InterfaceStyleSheetList","InterfaceStyleSheetList","InterfaceStyleSheetList","InterfaceStyleSheetList"
"DOM2","length","6.0","?","1.0","?","?","2.0"
"DOM2","item()","6.0","?","1.0","?","?","2.0"
"InterfaceCSSRuleList","InterfaceCSSRuleList","InterfaceCSSRuleList","InterfaceCSSRuleList","InterfaceCSSRuleList","InterfaceCSSRuleList","InterfaceCSSRuleList","InterfaceCSSRuleList"
"DOM2","length","No","?","1.0","?","?","2.0"
"DOM2","item()","No","?","1.0","?","?","2.0"
"InterfaceCSSRule","InterfaceCSSRule","InterfaceCSSRule","InterfaceCSSRule","InterfaceCSSRule","InterfaceCSSRule","InterfaceCSSRule","InterfaceCSSRule"
"DOM2","type","No","?","1.0","?","?","2.0"
"DOM2","cssText","No","Yes","1.0","?","?","2.0"
"DOM2","Yes","parentStyleSheet","No","1.3","1.0","?","2.0"
"DOM2","parentRule","No","?","1.0","?","?","2.0"
"InterfaceCSSStyleRule","InterfaceCSSStyleRule","InterfaceCSSStyleRule","InterfaceCSSStyleRule","InterfaceCSSStyleRule","InterfaceCSSStyleRule","InterfaceCSSStyleRule","InterfaceCSSStyleRule"
"DOM2","selectorText","6.0","Yes","1.0","1.3","?","2.0"
"DOM2","style","No","?","1.0","?","?","2.0"
"InterfaceCSSMediaRule","InterfaceCSSMediaRule","InterfaceCSSMediaRule","InterfaceCSSMediaRule","InterfaceCSSMediaRule","InterfaceCSSMediaRule","InterfaceCSSMediaRule","InterfaceCSSMediaRule"
"DOM2","media","No","?","1.0","?","?","2.0"
"DOM2","cssRules","No","?","1.0","?","?","2.0"
"DOM2","insertRule()","No","?","1.0","?","?","2.0"
"DOM2","deleteRule()","No","?","1.0","?","?","2.0"
"InterfaceCSSFontFaceRule","InterfaceCSSFontFaceRule","InterfaceCSSFontFaceRule","InterfaceCSSFontFaceRule","InterfaceCSSFontFaceRule","InterfaceCSSFontFaceRule","InterfaceCSSFontFaceRule","InterfaceCSSFontFaceRule"
"DOM2","style","No","?","1.9.1","?","?","2.0"
"InterfaceCSSPageRule","InterfaceCSSPageRule","InterfaceCSSPageRule","InterfaceCSSPageRule","InterfaceCSSPageRule","InterfaceCSSPageRule","InterfaceCSSPageRule","InterfaceCSSPageRule"
"DOM2","selectorText","No","?","No","?","?","2.0"
"DOM2","style","No","?","No","?","?","2.0"
"InterfaceCSSImportRule","InterfaceCSSImportRule","InterfaceCSSImportRule","InterfaceCSSImportRule","InterfaceCSSImportRule","InterfaceCSSImportRule","InterfaceCSSImportRule","InterfaceCSSImportRule"
"DOM2","href","No","Yes","1.0","1.3","?","2.0"
"DOM2","media","No","?","1.0","?","?","2.0"
"DOM2","styleSheet","No","?","1.0","?","?","2.0"
"InterfaceCSSCharsetRule","InterfaceCSSCharsetRule","InterfaceCSSCharsetRule","InterfaceCSSCharsetRule","InterfaceCSSCharsetRule","InterfaceCSSCharsetRule","InterfaceCSSCharsetRule","InterfaceCSSCharsetRule"
"DOM2","encoding","No","?","1.0","?","?","2.0"
"InterfaceCSSUnknownRule","InterfaceCSSUnknownRule","InterfaceCSSUnknownRule","InterfaceCSSUnknownRule","InterfaceCSSUnknownRule","InterfaceCSSUnknownRule","InterfaceCSSUnknownRule","InterfaceCSSUnknownRule"
"DOM2","(noproperties)","No","?","No","?","?","2.0"
"InterfaceCSSStyleDeclaration","InterfaceCSSStyleDeclaration","InterfaceCSSStyleDeclaration","InterfaceCSSStyleDeclaration","InterfaceCSSStyleDeclaration","InterfaceCSSStyleDeclaration","InterfaceCSSStyleDeclaration","InterfaceCSSStyleDeclaration"
"DOM2","cssText","No","?","1.0","?","?","2.0"
"DOM2","length","No","?","1.0","?","?","2.0"
"DOM2","parentRule","No","?","1.0","?","?","2.0"
"DOM2","getPropertyValue()","No","Yes","1.0","1.3","?","1.0"
"DOM2","getPropertyCSSValue()","No","?","No","?","?","2.0"
"DOM2","removeProperty()","No","No","1.0","1.3","?","1.0"
"DOM2","getPropertyPriority()","1.0","No","Incorrect","?","?","2.0"
"DOM2","setProperty()","1.0","No","Yes","1.3","?","1.0"
"DOM2","item()","1.0","No","?","?","?","2.0"
"InterfaceCSSValue","InterfaceCSSValue","InterfaceCSSValue","InterfaceCSSValue","InterfaceCSSValue","InterfaceCSSValue","InterfaceCSSValue","InterfaceCSSValue"
"DOM2","cssText","No","?","No","?","?","No"
"DOM2","cssValueType","No","?","No","?","?","No"
"InterfaceCSSPrimitiveValue","InterfaceCSSPrimitiveValue","InterfaceCSSPrimitiveValue","InterfaceCSSPrimitiveValue","InterfaceCSSPrimitiveValue","InterfaceCSSPrimitiveValue","InterfaceCSSPrimitiveValue","InterfaceCSSPrimitiveValue"
"DOM2","primitiveType","No","?","No","?","?","No"
"DOM2","setFloatValue()","No","?","No","?","?","No"
"DOM2","getFloatValue()","No","No","?","?","?","No"
"DOM2","setStringValue()","No","No","?","?","?","No"
"DOM2","getStringValue()","No","No","?","?","?","No"
"DOM2","getCounterValue()","No","No","?","?","?","No"
"DOM2","getRectValue()","No","No","?","?","?","No"
"DOM2","getRGBColorValue()","No","No","?","?","?","No"
"InterfaceCSSValueList","InterfaceCSSValueList","InterfaceCSSValueList","InterfaceCSSValueList","InterfaceCSSValueList","InterfaceCSSValueList","InterfaceCSSValueList","InterfaceCSSValueList"
"DOM2","length","No","?","No","?","?","No"
"DOM2","item()","No","?","No","?","?","No"
"InterfaceRGBColor","InterfaceRGBColor","InterfaceRGBColor","InterfaceRGBColor","InterfaceRGBColor","InterfaceRGBColor","InterfaceRGBColor","InterfaceRGBColor"
"DOM2","red","No","?","No","?","?","No"
"DOM2","green","No","?","No","?","?","No"
"DOM2","blue","No","?","No","?","?","No"
"InterfaceRect","InterfaceRect","InterfaceRect","InterfaceRect","InterfaceRect","InterfaceRect","InterfaceRect","InterfaceRect"
"DOM2","top","No","?","No","?","?","No"
"DOM2","right","No","?","No","?","?","No"
"DOM2","bottom","No","?","No","?","?","No"
"DOM2","left","No","?","No","?","?","No"
"InterfaceCounter","InterfaceCounter","InterfaceCounter","InterfaceCounter","InterfaceCounter","InterfaceCounter","InterfaceCounter","InterfaceCounter"
"DOM2","identifier","No","?","No","?","?","No"
"DOM2","listStyle","No","?","No","?","?","No"
"DOM2","separator","No","?","No","?","?","No"
"InterfaceViewCSS","InterfaceViewCSS","InterfaceViewCSS","InterfaceViewCSS","InterfaceViewCSS","InterfaceViewCSS","InterfaceViewCSS","InterfaceViewCSS"
"DOM2","getComputedStyle()","No","No","1.0","No","?","1.0"
"InterfaceDocumentCSS","InterfaceDocumentCSS","InterfaceDocumentCSS","InterfaceDocumentCSS","InterfaceDocumentCSS","InterfaceDocumentCSS","InterfaceDocumentCSS","InterfaceDocumentCSS"
"DOM2","getOverrideStyle()","No","?","No","?","?","No"
"InterfaceDOMImplementationCSS","InterfaceDOMImplementationCSS","InterfaceDOMImplementationCSS","InterfaceDOMImplementationCSS","InterfaceDOMImplementationCSS","InterfaceDOMImplementationCSS","InterfaceDOMImplementationCSS","InterfaceDOMImplementationCSS"
"DOM2","createCSSStyleSheet()","No","?","No","?","?","No"
"InterfaceElementCSSInlineStyle","InterfaceElementCSSInlineStyle","InterfaceElementCSSInlineStyle","InterfaceElementCSSInlineStyle","InterfaceElementCSSInlineStyle","InterfaceElementCSSInlineStyle","InterfaceElementCSSInlineStyle","InterfaceElementCSSInlineStyle"
"DOM2","style","6.0","Yes","1.0","1.3","Yes","1.0"
