"Client","Client","PlayWhileDownloading","PowerShare","DynamicUpload","SUQWT","SubChunkTransfer","DropSources","Pushsmallfiles","ZZratio","AntiLeech","IPFilter","SlotControl"
"aMule","aMule","Yes","Yes","UBT","No","No","Yes","No","No","No","Yes","Yes"
"eMule","Official","No","No","USS","No","No","No","No","No","No","Yes","No"
"eMule","Osp","Yes","No","USS","No","No","No","No","No","No","Yes","No"
"eMule","AnalyZZUL","No","Yes","USS","Yes","No","No","No","fixed1:3Ratio","ClientAnalyzer","Yes","ZZSlotFocus"
"eMule","beba","No","ReleasePriority","USS","Yes","No","Yes","No","No","ClientAnalyzer","Yes","SlotFocus,UploadSlotControl"
"eMule","MagicAngel","No","Yes","SUC,USS","Yes","No","No","Yes","Yes","ARGOS","Yes","SlotFocus,trickleSlots"
"eMule","Mephisto","No","PS&PowerRelease","NAFC","Yes","No","Yes","Yes","optional:1:3ratioorsourcelimitsorenforcedwithchooseableratioordynamicbyfriendslot","DLP","Yes","Slotfocus"
"eMule","MorphXT","No","PowerShare&ReleasePriority","SUC,USS","Yes","No","No","Yes","optional:dynamic1:3Ratio","Stringlist,Stricterprotocolchecks","Yes","SlotFocus,trickleSlots"
"eMule","NeoMule","No","PowerShare&ReleasePriority","USS,NAFC,NeoBC","Yes","Yes","Yes(includingIpBlock)","custom","optional1:4Ratio","ARGOS(includingDLPsupport)","Yes","SlotFocus,trickleSlots,Badwolf,manuel"
"eMule","ScarAngel","No","PS&PowerRelease","NAFC","Yes","No","Yes","Yes","optional:1:3ratioorsourcelimitsorenforcedwithchooseableratio","DLP","Yes","XtremeUploadSystem"
"eMule","SharkX","No","PowerRelease","No","Yes","No","Yes","Onlyincomplete","tazdynamicratio","ClientAnalyzer","Yes","SlotFocus"
"eMule","Sivka","No","Releasepriority","USS","No","No","Yes(incl.List)","Yes","No","No","Yes","Yes"
"eMule","Spike2","No","Yes","USS","No","No","Yes(incl.List)","No","No","Stringlist+ClientAnalyzer","Yes","Slotfocus,Min/Max.Slots"
"eMule","StulleMule","No","Yes","SUC,USS","Yes","No","Yes(incl.List)","Yes","dynamic1:3Ratioorenforcedchoosableratio","DLPmethods","Yes","USC,Slotfocus"
"eMule","Xtreme","No","PowerRelease","NAFC","No","No","Yes","Yes","optional:1:3ratioorsourcelimits","DLP","Yes","XtremeUploadSystem"
"eMule","X-Ray","No","Yes","USS","Yes","No","List+VariableBlocktime","No","No","Argos(withownDLP)","Yes","Slotspeed"
"eMule","ZZUL","No","Yes","USS","No","No","No","No","fixed1:3Ratio","No","Yes","SlotFocus"
"eMule","ZZULBastarD","No","PowerShare,SuperRelease","USS","Yes","No","No","Yes","fixed1:3Ratio","Stringlist+ClientAnalyzerforArmadillo","Yes","SlotFocus"
"eMulePlus","eMulePlus","No","Releasepriority,JumpStart","No","No","No","No","Yes","1:3<4KB/s,1:4<10KB/s","Yes","Yes","trickleSlots"
"Lphant","Lphant","No","?","No","?","BasicSupportforCrumbs","?","?","No","No","Yes","?"
"MLDonkey","MLDonkey","No","Folderreservedslot+releasefileslot","Yes","No(Noqueue)","No","Usesaverylowprioritylistinstead","SimilarFeature","About1:4below10KB/s","No","Yes","Yes(userselectsnumberofslots)"
"Shareaza","Shareaza","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Rewarduploaders","Yes","Yes"
"xMule","xMule","No","No","No","No","No","No","No","No","No","Yes","No"
"Client","Client","PlayWhileDownloading","PowerShare","DynamicUpload","SUQWT","SubChunkTransfer","DropSources","Pushsmallfiles","ZZratio","AntiLeech","IPFilter","SlotControl"
