"Desktoppublishingsoftware","PDF","EPS","SVG","TeX/LaTeX","RTF","HTML","Word.doc","OOXML.docx","Other"
"ApacheOpenOfficeWriter","Yes","Yes","No","No","Yes","Yes","Yes","Yes","PSD,WPD,XLS"
"CollaboraOnline","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ODF,PSD,WPD,XLSX"
"CorelDRAW","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","PSD,AI,SWF,WPD"
"Fatpaint","No","No","No","No","No","No","No","No","JPG,PNG"
"Flare","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","XLS,AdobeFramemaker,AdobeRoboHelp,MicrosoftCompiledHTMLHelp,DITA"
"FrameMaker","Yes","Yes","Yes","No","Yes","No","Yes","No","WPD"
"InDesign","Yes","Yes","No","No","Yes","No","Yes","Yes","PSD,AI,SWF,WPD,XLS"
"InPage","No","Yes","No","No","No","No","No","No","No"
"iStudioPublisher","Yes","No","No","No","No","No","No","No","PSD,AI"
"LibreOffice","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ODF,PSD,WPD,XLSX"
"LyX","No","No","No","Yes","No","Yes","No","No","No"
"MicrosoftPublisher","No","No","No","No","Yes","Yes","Yes","Yes","No"
"PageMaker*","Yes","Yes","No","No","Yes","No","Yes","No","No"
"PagePlus","Yes","Yes","No","No","Yes","No","Yes","Yes","No"
"Pages","No","No","No","No","Yes","No","Yes","Yes","No"
"QuarkXPress","Yes","Yes","No","No","Yes","Yes","Yes","No","PSD,AI,SWF,XLS,JPG,PNGPDF"
"Scribus","Yes","Yes","Yes","Yes","No","Yes","Yes","No","List"
"ThePrintShop","No","No","No","No","No","No","No","No","No"
"Ventura*","Yes","Yes","No","No","Yes","No","Yes","No","PSD,AI,WPD"
"Desktoppublishingsoftware","PDF","EPS","SVG","TeX/LaTeX","RTF","HTML","Word.doc","OOXML.docx","Other"
