"","MSHTML","Gecko","WebKit","KHTML","Presto","Prince","AntennaHouse"
"XPath1.0","Yes","1.8","Yes","4.8","2.0","?","Depends"
"XPath2.0","No","No","?","?","?","?","Depends"
"XPath3.0","?","?","?","?","?","?","?"
"XPath3.1","?","?","?","?","?","?","?"
"XQuery","?","No","No","?","No","?","No"
