"Blacklistoperator","QuestionableOperations","DNSblacklist","Zone","Listinggoal","Nomination","Listinglifetime","Notes","Collaterallistings","Notifiesuponlisting"
"UCEPROTECT-Network","Acceptsmonetaryfeestode-listwhichincentivizesfraudorabuse;principalmanagementengagesinquestionablebehaviorinofficialcommunications","UCEPROTECTLevel1","dnsbl-1.uceprotect.net(alsofreeavailableviarsync)","SingleIPaddressesthatsendmailtospamtraps","Automaticbyaclusterofmorethan60trapservers","Automaticexpiration7daysafterthelastabusewasseen,optionallyexpressdelistingforasmallfee.","UCEPROTECT'sprimaryandtheonlyindependentlist","No","No"
"UCEPROTECT-Network","Acceptsmonetaryfeestode-listwhichincentivizesfraudorabuse;principalmanagementengagesinquestionablebehaviorinofficialcommunications","UCEPROTECTLevel2","dnsbl-2.uceprotect.net(alsofreeavailableviarsync)","AllocationswithexceededUCEPROTECTLevel1listings","AutomaticcalculatedfromUCEPROTECT-Level1","AutomaticremovalassoonasLevel1listingsdecreasebelowLevel2listingborder,optionallyexpressdelisting(forafee)","FullydependingonLevel1","Yes","No"
"UCEPROTECT-Network","Acceptsmonetaryfeestode-listwhichincentivizesfraudorabuse;principalmanagementengagesinquestionablebehaviorinofficialcommunications","UCEPROTECTLevel3","dnsbl-3.uceprotect.net(alsofreeavailableviarsync)","ASN'swithexcessiveUCEPROTECTLevel1listings","AutomaticcalculatedfromUCEPROTECT-Level1","AutomaticremovalassoonasLevel1listingsdecreasebelowLevel3listingborder,optionallyexpressdelisting(fee)","FullydependingonLevel1","Yes","No"
