"Cameramodel","Movementtype","Pulldownclaws","Registrationpins","Framerate(forward)","Framerate(reverse)","Motor","Pulldown","Pitchcontrol?"
"Eyemo71K","clockworkmechanism","1","0","4–50frame/s","No","spring-wound,severalmotorsavailable","4perf","No"
"Arriflex35-2C","cam-driven","1","0","dependsonmotor;speedsrangingfrom5–80frame/savailable","No","severalavailable,including32VDChandgrip,16VDCgovernor,24-28VDCand16VDCvariables.","4perf","No"
"Arriflex35BL-1","cam-driven","4","2","5–100frame/s","No","12VDC,Xtalat24,25,and30frame/s","4perf","No"
"Panaflex-X","Mitchell-design,camdriven","2","2","4–34frame/s","No","24VDCbrushed,Xtalat24,25,and29.97frame/s","4and3perf","Yes"
"Arriflex35BL-2","cam-driven","2","2","5–50frame/s","No","12VDC,Xtalat24,25,and30frame/s","4perf","No"
"PanaflexGoldII","Mitchell-design,camdriven","2","2","4–34frame/s","No","24VDCbrushed,Xtalat24,25,and29.97frame/s","4and3perf","Yes"
"Arriflex35BL-3","cam-driven","2","2","5–50frame/s","No","12VDC,Xtalat24,25,and30frame/s","4perf","No"
"Arriflex35-3C","cam-driven","1(dual-pin)","1","4–100frame/s;somemodelscanreach130frame/s","4–100frame/s;somemodelscanreach130frame/s","12/24VDC,Xtalat24,25,and30frame/s","4and3perf","No"
"MoviecamSuperAmerica","compensatinglinkmovement","2","2","12–32frame/sin1frame/sincrements;1–50frame/sin0.001frame/sincrementswithspeedbox","12–32frame/sin0.001frame/sincrementswithspeedbox","24VDCmicroprocessor-controlled,Xtalatallspeeds","4perf","Yes"
"Arriflex35BL-4","cam-driven","2","2","5–40frame/s","No","12VDC,Xtalat24,25,and30frame/s","4perf","No"
"PanaflexPlatinum","Mitchell-design,camdriven","2","2","4–36frame/sin0.1frame/sincrements","4–36frame/sin0.1frame/sincrements","24VDCbrushed,Xtalatallspeeds","4and3perf","Yes"
"PanaflexPanastarII","Mitchell-design,camdriven","4","2","4–120frame/sin1frame/sincrements","4–120frame/sin1frame/sincrements","24VDCbrushed,Xtalatallspeeds","4and3perf","Yes"
"Arriflex35BL-4s","seven-linkmovement","2","2","5–40frame/s","No","12VDC,Xtalat24,25,and30frame/s","4and3perf","Yes"
"Arriflex535","seven-linkmovement","2","2","3–50frame/sin0.001frame/sincrements;1frame/sifphasebuttonheld","3–50frame/sin0.001frame/sincrements","24VDCmicroprocessor-controlled,Xtalat1,24,25,29.97,and30frame/sforwards","4and3perf","Yes"
"MoviecamCompact","compensatinglinkmovement","2","2","12–32frame/sin1frame/sincrements;2–50frame/sin0.001frame/sincrementswithspeedbox","12–32frame/sin0.001frame/sincrementswithspeedbox","24VDCmicroprocessor-controlled,Xtalatallspeeds","4perf;3perfavailableforMk2","Yes"
"Arriflex535B","seven-linkmovement","2","2","3–60frame/sin0.001frame/sincrements;1frame/sifphasebuttonheld","3–60frame/sin0.001frame/sincrements","24VDCmicroprocessor-controlled,Xtalatallspeeds","4and3perf","Yes"
"Arriflex435","five-linkmovement","2(3-pin)","2","1–150frame/sin0.001frame/sincrementsupto100frame/sand0.01frame/sincrementsafter","1–150frame/sin0.001frame/sincrementsupto100frame/sand0.01frame/sincrementsafter","DCquartz-controlled,Xtalatallspeeds","4and3perf","Yes"
"Arriflex435ES","five-linkmovement","2(3-pin)","2","1–150frame/sin0.001frame/sincrementsupto100frame/sand0.01frame/sincrementsafter","1–150frame/sin0.001frame/sincrementsupto100frame/sand0.01frame/sincrementsafter","DCquartz-controlled,Xtalatallspeeds","4and3perf","Yes"
"MoviecamSL","compensatinglinkmovement","2","2","12–40frame/sin1frame/sincrements;2–40frame/sin0.001frame/sincrementswithspeedbox","12–32frame/sin0.001frame/sincrementswithspeedbox(Compactmagsonly)","24VDCmicroprocessor-controlled,Xtalatallspeeds","4perf","Yes"
"Aaton35-III","magneticdrivewheelsbetweenbodyandmag","co-planar","No","3-32frame/sin0.001frame/sincrements","No","tri-phasebrushless,Xtalatallspeeds","4and3perf","Yes"
"PanaflexMillennium","Mitchell-design,camdriven","2","2","3–50frame/sin0.001frame/sincrements","3–50frame/sin0.001frame/sincrements","dualbrushlessforshutterandmovement,singlevariableforshutterangle,Xtalallspeeds","4and3perf","Yes"
"PanaflexMillenniumXL","Mitchell-design,camdriven","2","2","3–40frame/sin0.001frame/sincrements","No","dualbrushlessforshutterandmovement,singlevariableforshutterangle,Xtalallspeeds","4and3perf","Yes"
"ArricamLT","five-linkmovement","2","2","1–48frame/sin0.001frame/sincrements;speedswithdecimalplacesmustbesetwithaccessories","1–32frame/sin0.001frame/sincrements;speedswithdecimalplacesmustbesetwithaccessories","dualbrushlessforshutterandmovement,Xtalallspeeds","4,3,and2perf","Yes"
"ArricamST","five-linkmovement","2","2","1–60frame/sin0.001frame/sincrements;speedswithdecimalplacesmustbesetwithaccessories","1–32frame/sin0.001frame/sincrements;speedswithdecimalplacesmustbesetwithaccessories","dualbrushlessforshutterandmovement,Xtalallspeeds","4,3,and2perf","Yes"
"Arriflex435Advanced","five-linkmovement","2(3-pin)","2","0.1–150frame/sin0.001frame/sincrementsupto100frame/sand0.01frame/sincrementsafter","0.1–150frame/sin0.001frame/sincrementsupto100frame/sand0.01frame/sincrementsafter","DCquartz-controlled,Xtalatallspeeds","4and3perf","Yes"
"Aaton35-3P","magneticdrivewheelsbetweenbodyandmag","co-planar","No","2-40frame/sin0.001frame/sincrements","No","triphasebrushless,Xtalatallspeeds","4and3perf","Yes"
"Arriflex235","five-linkmovement","1(dual-pin)","1","1–75frame/sin0.001frame/sincrements","25frame/s(can'tbeusedwithshouldermagsorolder200'mags)","DCquartz-controlled,Xtalatallspeeds","4,3,and2perf","No"
"Arriflex435Xtreme","five-linkmovement","2(3-pin)","2","0.1–150frame/sin0.001frame/sincrementsupto100frame/sand0.01frame/sincrementsafter","0.1–150frame/sin0.001frame/sincrementsupto100frame/sand0.01frame/sincrementsafter","DCquartz-controlled,Xtalatallspeeds","4and3perf","Yes"
