"Client","Developer","Initialrelease","Latestrelease","Latestrelease","License","Copyfilesover2GB","Interface"
"Client","Developer","Initialrelease","Version","License","Copyfilesover2GB","Interface","Date"
"CrossFTP","CrossFTPSoftware","2006","1.99.2","2020-05-23","Proprietary","Yes","GUI"
"LeechFTP","JanDebis","1998","1.3(Discontinued)","","Proprietary","No","GUI"
"FTPVoyager","RhinoSoftware,Inc","1997(January)","16.1.0.0","2013-08-20","Proprietary","Yes","GUI"
