"Model(Codename)","Launch","Architecture(Fab)","Core","Fillrate","Core","Memory","Memory","Memory","Fillrate","Processingpower(GFLOPS)","Memory","TDP"
"Model(Codename)","Launch","Architecture(Fab)","Config","Clock(MHz)","Processingpower(GFLOPS)","Texture(GT/s)","TDP","Pixel(GP/s)","Bustype&width","Size(GiB)","Clock(MHz)","Band-width(GB/s)"
"Radeon520(Banks)","18April2017","GCN1gen(28nm)","320:20:8","1030","20.6","8.2","659","DDR364-bit","2","1000","16.0","<50W"
"Radeon520(Banks)","18April2017","GCN1gen(28nm)","320:20:8","1030","20.6","8.2","659","GDDR564-bit","2","1125","36","<50W"
"Radeon530(Weston)","18April2017","GCN3gen(28nm)","384:24:8","7301024","24.6","8.2","786","DDR364-bit","2","900","14.4","<50W"
"Radeon530XRadeon535(Polaris24XT)","18April2017","GCN3gen(28nm)","384:24:8","7301024","24.6","8.2","786","GDDR564-bit","2","1125","36","<50W"
"RadeonRX540(LexaPro)","11November2017","GCN4gen(14nm)","512:32:16","11241219","39","19.5","1248","GDDR5128-bit","2","1500","96","<50W"
"Radeon540X(Polaris23XL)","11April2018","GCN4gen(14nm)","512:32:16","11241219","39","19.5","1248","GDDR5128-bit","2","1500","96","<50W"
"RadeonRX550(LexaPro)","2July2017","GCN4gen(14nm)","640:40:16","11001287","51.5","20.6","1647","GDDR5128-bit","2","1500","96","<50W"
"Radeon550X(Polaris23XT)","11April2018","640:40:16","11001287","51.5","20.6","1647","GDDR5128-bit","2","1500","96","<50W","GCN4gen(14nm)"
"RadeonRX560(BaffinXT)","5January2017","GCN4gen(14nm)","896:56:16","7841032","57.8","16.5","1849","GDDR5128-bit","4","1710","109.4","55W"
"RadeonRX560(BaffinXT)","5January2017","896:56:16","10001053","GCN4gen(14nm)","59","16.9","1887","GDDR5128-bit","4","1500","96","55W"
"RadeonRX560(BaffinXT)","5January2017","1024:64:16","10901202","GCN4gen(14nm)","77","19.2","2462","GDDR5128-bit","4","1500","96","65W"
"RadeonRX560X(Polaris31XL)","9January2019","GCN4gen(14nm)","896:56:16","1223","68.5","19.6","2192","GDDR5128-bit","4","1750","112","65W"
"RadeonRX570(EllesmerePro)","10December2017","GCN4gen(14nm)","2048:128:32","9261206","154.4","38.6","4940","GDDR5256-bit","8","1650","211","85W"
"RadeonRX580(Polaris20XT)","18April2017","GCN4gen(14nm)","2304:144:32","10001077","155.1","34.5","4963","GDDR5256-bit","8","2000","256","100W"
"RadeonRX580X(Polaris20XT)","11April2018","2304:144:32","10001077","155.1","34.5","4963","GDDR5256-bit","8","2000","256","100W","GCN4gen(14nm)"
