"Model","CodeName","ReleaseDate","ProcessorsSupported","Fabricationprocess(nm)","FSB/HTFrequency(MHz)","AGP","PCI-Express","SLI","PCI","USB","PATA","SATA","LAN","Sound","Features","Notes"
"nForce3Professional150/250","CK8","08/2003","AMDOpteron","150nm","HT1.01.6GHz","AGP3.0533MT/s","No","No","6Ports","8PortsRev2.0","2PortsUDMA133","4Ports1.5Gbit/s","1000Mbit/s","AC'972.1","MediaShield",""
"nForceProfessional2200MCP","CK8-04","01/2005","AMDOpteron","150nm","HT1GHz2000MT/s","No","1.0a20lanes,4linksflexiblex16:2slots","x8+x8","5Ports","10PortsRev2.0","2PortsUDMA133","4Ports3.0Gbit/s","1000Mbit/s","AC'972.3","MediaShieldRAID0,1,0+1,5",""
"nForceProfessional2200and2050","CK8-04","01/2005","AMDOpteron","HT1GHz2000MT/s","No","150nm","1.0a40lanes,8linksflexiblex16:2slots","x16+x16","5Ports","10PortsRev2.0","2PortsUDMA133","8Ports3.0Gbit/s","2*1000Mbit/s","MediaShieldRAID0,1,0+1,5","AC'972.3",""
"nForceProfessional3400MCP","MCP55Pro","2006","AMDOpteron","HT1GHz2000MT/s","No","","1.0a28lanes,6linksfixedx16:2slots","x8+x8","5Ports","10PortsRev2.0","1PortsUDMA133","6Ports3.0Gbit/s","2*1000Mbit/s","MediaShieldRAID0,1,0+1,5","HDA",""
"nForceProfessional3600MCP","MCP55Pro","2006","AMDOpteron","HT1GHz2000MT/s","No","","1.0a28lanes,6linksfixedx16:2slots","x8+x8x16+x8","5Ports","10PortsRev2.0","1PortsUDMA133","6Ports3.0Gbit/s","2*1000Mbit/s","MediaShieldRAID0,1,0+1,5","HDA",""
"nForceProfessional3600and3050","MCP55Pro","2006","AMDOpteron","HT1GHz2000MT/s","No","","1.0a56lanes,12linksflexiblex16:2slots","x16+x16","5Ports","10PortsRev2.0","2PortsUDMA133","12Ports3.0Gbit/s","4*1000Mbit/s","MediaShieldRAID0,1,0+1,5","HDA",""
